author,text,published_at,like_count,source,weekly_period,cluster
user_36275,wonge cengengesan wong hasud tujuane busuk kurang kawean hati bosok,2025-05-05 00:16:19,0,ijasah_ditunjukan,2025-05-05,0
user_56061,"rakyat menilai,, penilaian rakyat ya emang gerombolanmu itu gerombolan orang orang gila roy,, otakmu uda g, waras",2025-05-05 00:26:48,0,ijasah_ditunjukan,2025-05-05,0
user_37506,udah mulai playing victim ini si rs,2025-05-05 00:32:34,0,ijasah_ditunjukan,2025-05-05,0
user_311,masyarakat yang mana.?,2025-05-05 00:36:10,0,ijasah_ditunjukan,2025-05-05,0
user_18890,trllu banyak menfitnah,2025-05-05 00:41:28,0,ijasah_ditunjukan,2025-05-05,0
user_51550,cocote rs blegedes,2025-05-05 00:51:07,0,ijasah_ditunjukan,2025-05-05,0
user_4304,ngak sopan hos nya,2025-05-05 01:02:00,0,ijasah_ditunjukan,2025-05-05,0
user_42270,artinya roi suda dak dik duk,2025-05-05 01:05:58,0,ijasah_ditunjukan,2025-05-05,0
user_4250,segera penjarakan si panci 😅😅😅perusuh,2025-05-05 01:31:02,0,ijasah_ditunjukan,2025-05-05,0
user_17438,panci panci muliai panik,2025-05-05 01:32:59,0,ijasah_ditunjukan,2025-05-05,0
user_48994,kru org krg kerjaan...,2025-05-05 01:57:08,0,ijasah_ditunjukan,2025-05-05,0
user_480,si tok detok emng ruwet.hahahahaha,2025-05-05 02:05:33,0,ijasah_ditunjukan,2025-05-05,0
user_35455,"tinggal tunggu waktu aja lg tukang fitnah,ahli pancii,mulutmu harimaumu",2025-05-05 02:37:05,0,ijasah_ditunjukan,2025-05-05,0
user_43270,masyarakat awam dapat bansos😂😂😂😂😂,2025-05-05 02:37:20,0,ijasah_ditunjukan,2025-05-05,0
user_20502,mampusin.udah.tuh.si.panci.masyarakat.indonesia.mendukung.bp.jokowi😮😮😮,2025-05-05 02:38:19,0,ijasah_ditunjukan,2025-05-05,0
user_48042,wkkwkwkwkw mempidanakan kalau tanpa sebab ya g mungkin bung mulutmu harimaumu,2025-05-05 02:48:10,0,ijasah_ditunjukan,2025-05-05,0
user_4009,kasi kursi pasti diam,2025-05-05 03:15:06,0,ijasah_ditunjukan,2025-05-05,0
user_55538,yg lucu tuh anda tudung panci,2025-05-05 03:21:41,0,ijasah_ditunjukan,2025-05-05,0
user_28843,sepandai-pandainnya menutupi bau bangkai apada akhirnya akan tercium juga.... punten cuma pepatah jnimah bukan maksud apa2🙏,2025-05-05 03:40:28,1,debat_tv_one,2025-05-05,0
user_13768,banyak among kau roy panci,2025-05-05 03:53:14,0,ijasah_ditunjukan,2025-05-05,0
user_20288,pak qt orng solo pakbok yo jujur biar urusan kelar,2025-05-05 03:57:07,1,debat_tv_one,2025-05-05,0
user_5438,kalau sudah di jelaskan masih ngeyel ya mau gimana lagi,2025-05-05 04:04:41,0,ijasah_ditunjukan,2025-05-05,0
user_16111,banyak bacot tunjuk kan aja,2025-05-05 04:04:52,0,ijasah_ditunjukan,2025-05-05,0
