author,text,published_at,like_count,source,weekly_period,cluster
user_35124,"sungguh disayangkan institusi sebesar ugm dengan predikat, nama besar, prestasi dan integritasnya yang masyhur... rusak karena ulah satu orang.....ugm terlalu besar untuk dikorbankan.....",2025-04-28 00:17:41,2,debat_tv_one,2025-04-28,5
user_3286,"ilmu pengtahun iptek mampu merubh menudhkn sgl sesuatu,di dunia ini,, pikir aj bukti nyata kita pkai nikmti skrng,,solusi hsil.dri.iptek,berkat pra ilmuan2 dunia, ,,,, nah skrng gimna kita berdmokri udh memilh presiden ke 7 dlm 2 priode yg lalu apkah ad riset menuntungk,atu sblikny dng kebijkn,2 prasiedn ke 7, mnto happy slalu,,,😂🤲",2025-04-28 00:22:27,0,debat_tv_one,2025-04-28,5
user_39243,mahasiswa seangkatannya saja tidak kenal gmn ngaku2 pernah kuliah...,2025-04-28 00:45:47,0,debat_tv_one,2025-04-28,5
user_22208,ijazah ruko ?,2025-04-28 01:10:14,0,debat_tv_one,2025-04-28,5
user_20452,"kalau terbukti palsu, seret semua orang yang menghalangi penyelidikan ijazah palsu tersebut.",2025-04-28 01:19:30,0,debat_tv_one,2025-04-28,5
user_2957,"mahasiswa lulusan 91 ugm...! malingkundang ya, roy suryo....perlu di kutuk ugm * pernah tindakan pertama mencoreng almamater....se indonesia sudah tahu... kedua, kalau kasus ini dia tdk jadi sekolah lagi...pasti akan lebih sombong.. tapi kalau dia sukses masuk lagi, itu ugm mengutuk jadi patung di penjara....",2025-04-28 01:48:40,0,debat_tv_one,2025-04-28,5
user_36545,tidak ada kebohongan yang sempurna. yang namanya tidk jujur alias nipu malsuin ijazah memang harus dibongkar,2025-04-28 02:07:26,0,debat_tv_one,2025-04-28,5
user_22843,yang mau memastikan ijazah palsu atau aslinya justru kamu roy bukan masyarakat yang ingin membuktikan. jadi kamulah roy yang ingin membuktikan asli atau palsunya padahal kamu adalah seorang narapidana gitulah roy panci,2025-04-28 02:10:55,0,debat_tv_one,2025-04-28,5
user_34064,coba itu lulusan kampus ruko jangan ngomong😂😂😂😂,2025-04-28 02:52:04,0,debat_tv_one,2025-04-28,5
user_52977,saya akui soal hasil kepemimpinan bapak jokwi hanya saya sesalkan kenapa prosedur utk mendapatkan ijazah nya itu tdk mengikuti prosedur yg sebenarnya,2025-04-28 03:19:03,0,debat_tv_one,2025-04-28,5
user_27042,diucapakn sama alumnus kampus ruko ????,2025-04-28 03:36:22,0,debat_tv_one,2025-04-28,5
user_48839,"memalukan ugm mau dijadikan sebagai tong sampah yaitu si jokowi. ilmu tertinggi sekaligus sumber ilmu itu adalah kejujuran, ugm tak layak lagi disebut universitas tapi 'tong sampah'.",2025-04-28 03:45:30,0,debat_tv_one,2025-04-28,5
user_29322,"saat penipuan kecil soal ijasah diabaikan, maka penipuan jadi beruntun esemka, alat pertanian, ikn itu yg ketahuan soal penyalahgunaan wewenang. yang gak ketahuan???",2025-04-28 03:54:45,2,debat_tv_one,2025-04-28,5
user_28448,partai sebar ijazah. partai salah input. partai mana itu?,2025-04-28 04:02:34,1,debat_tv_one,2025-04-28,5
user_4492,bukan hanya cinta saja yang palsu akan tetapi ijazah juga ada yang palsu 😂😂😂,2025-04-28 04:10:26,0,debat_tv_one,2025-04-28,5
