author,text,published_at,like_count,source,total_sources,total_comments,screening_time_min,source_entropy,cluster
user_21279,"di bawa ke polisian ga ada artinya bosss,,, semua petinggi polisi sampai kapolrinya satu kelompok satu geob,,, sadaelah berlaku jujur dan adillah",2025-05-28 11:47:23+00:00,0,debat_tv_one,1,2,29.8,0.0,2
user_20961,"ni pengacara bohong bohongan lihat ijasah nya asli krn pengacara bisa blg gitu tpi blum tentu tau asli/ palsu,kok ikut pembohong juga y pengacara rakyat gk percaya ngomong udh tau lihat di mata preeeet",2025-05-26 07:09:04+00:00,0,debat_tv_one,1,2,3.216666666666667,0.0,2
user_43521,kedokteran ehh😂,2025-05-25 09:42:46+00:00,0,debat_tv_one,1,2,6.6,0.0,2
user_36753,"kita berdiri di negara hukum,,hukum yg mn silvester dungu",2025-05-25 08:06:54+00:00,0,debat_tv_one,1,1,0.0,0.0,2
user_7589,"pak,yakop tdk pantas masuk hukum ,bagus jd komedian sj pintar ngeles 😂😂😂",2025-05-24 18:13:33+00:00,0,debat_tv_one,1,1,0.0,0.0,2
user_22613,gak sabar nunggu pengadilan,2025-05-24 15:38:14+00:00,0,debat_tv_one,1,1,0.0,0.0,2
user_26389,17:43 y. untuk nambah2in kurungan. dah sebar informasi hoax,2025-05-24 10:25:57+00:00,0,debat_tv_one,1,1,0.0,0.0,2
user_6398,"klw memang harus peradilan tempuhlah jalan prasilan, dn semoga hakim hakimnya adil seadil adiknya, krn rakyat juga mau melihat yg adil, atas negeri ini,,!!",2025-05-20 14:03:11+00:00,0,debat_tv_one,1,1,0.0,0.0,2
user_19570,gmana kasusnya mau tuntas..kapolri nya aja anak buah mulyono😅,2025-05-19 16:00:28+00:00,0,debat_tv_one,1,1,0.0,0.0,2
user_16959,masalah itu sdh diklafikasi oleh pihak yg menerbitkan itu clear itu asli tinggal buktikan kalau dibawa ranah hukum dalam,2025-05-19 13:29:19+00:00,0,debat_tv_one,1,1,0.0,0.0,2
user_44104,kalau mau membasmi kejahatan korupsi basmi dulu pembonhongan,2025-05-19 13:03:34+00:00,0,debat_tv_one,1,1,0.0,0.0,2
user_38824,"bagi saya yg buta hukum,rasanya untuk membantah semua yg menganggap 'palsu' sangat penting untuk menampakkan yg asli.biar semua kegaduhwn ini selesai. ya smg yg asli di tampakan di pengadilan nanti.",2025-05-19 02:52:46+00:00,0,debat_tv_one,1,1,0.0,0.0,2
user_16242,kamu amin sdh tua ...kalau bisa kamu yang masuk penjara saja,2025-05-18 15:00:43+00:00,0,debat_tv_one,1,1,0.0,0.0,2
user_53413,"kalau terbukti palsu, sebaiknya orang ini dipenjara juga.",2025-05-18 06:06:59+00:00,0,debat_tv_one,1,1,0.0,0.0,2
user_55352,"silfister rupanya ada pengadilan asli, berarti selama ini ada pengadilan tdk resmi... wow...",2025-05-17 15:24:00+00:00,0,debat_tv_one,1,1,0.0,0.0,2
user_4069,hukum.. manipulasi. rakyat. berhak.. dong. pemimipin. yg.. itu yakub.. pengacara.. bayaran😅😅😅😅😅😅,2025-05-15 23:15:48+00:00,0,debat_tv_one,1,3,4.5,0.0,2
user_6063,apa ini kah mending nunggu aja sidang daripada berdebat yg belum pasti asli atau palsu jadi makin malas nonton tv 😂,2025-05-14 19:10:46+00:00,0,debat_tv_one,1,2,17.55,0.0,2
user_1563,nanti di penjarakan baru tau😡,2025-05-12 15:55:55+00:00,0,debat_tv_one,1,1,0.0,0.0,2
user_23020,uaduuh kok uuangel siih. masalah nunjukan asli aja kok sulit. kasikan biar diuji kalau memang asli kena apaa takut kalau asli.,2025-05-12 14:06:47+00:00,0,debat_tv_one,1,1,0.0,0.0,2
user_40840,kapan sidang akan di gelar,2025-05-12 13:58:29+00:00,0,debat_tv_one,1,1,0.0,0.0,2
user_52671,"kebenaran akan kalah dengan kekuasaan contoh kasus vina cirebon ma yg dzolim biadab tolak pk 7 terpidana sodara"" kami😢😢😢😢😢",2025-05-12 13:39:49+00:00,0,debat_tv_one,1,4,95.3,0.0,2
user_40385,si panci rs..siap masuk penjara 😂,2025-05-11 14:30:58+00:00,0,debat_tv_one,1,1,0.0,0.0,2
user_7654,"di negara konoha ini, semua bisa dibeli, hukum saja bisa dibeli apalagi hanya ijazah, apalagi org berduit dan punya kuasa",2025-05-11 03:20:14+00:00,1,debat_tv_one,1,1,0.0,0.0,2
user_56465,orang kalo jantan laporkan aja pemalsuan dokumen jangan koar di sana sini ..orang ini parahhhh tidak ada nilai...tong kosong isinya bangke..,2025-05-10 09:00:54+00:00,0,debat_tv_one,1,2,1.7333333333333334,0.0,2
user_54948,"berantas korupsi, berantas narkoba... hadeh... yg main di belakang itu semua malah elit""nya... menurutku hukum di negara ini sudah tidak bisa di percaya sepenuhnya.. negara hukum hanyalah slogan bagi kaum elit... bagi rakyat 0 besar.",2025-05-10 01:48:42+00:00,0,debat_tv_one,1,2,24.35,0.0,2
user_21858,"tunjukkan saja kebenarannya , tunjukkan kepada orang yg mengatakan palsu , apa sih beratnya untuk menunjukkannya , kuasa jangan cuma ngomong doang , kami masarakat heran untuk menunjukkan nya sangat berat sekali , kalau memang asli tangkap saja orang menyebarkan bahwa ijazah palsu dan kalau pun benar palsu resiko harus ditanggung sendiri kan sudah beres tidak membuat gaduh di kami sebagai masarakat sementara kadus korupsi yg sangat menyusahkan masarakat belum di selesaikan siapa dalang korupsi tersebut kami masarakat menunggu.",2025-05-09 08:52:30+00:00,0,debat_tv_one,1,2,10.866666666666667,0.0,2
user_12890,klo terbukti palsu lawyernya jg harus di.penjars,2025-05-09 07:12:25+00:00,0,debat_tv_one,2,2,9785.7,0.6931471805599453,2
