author,text,published_at,like_count,source,total_sources,total_comments,screening_time_min,source_entropy,cluster
user_39136,"amien gaca dong , pembohong mau sok suci, sudah pernah jilat ludah sdri dulu bilang mau jalan kaki ke solo mana di tepati",2025-05-28 16:17:13+00:00,0,debat_tv_one,2,2,39841.73333333333,0.6931471805599453,7
user_44257,org ni dh bau tanah msh menggiring opini masyarakat takut ank cucu nya g kebagian jabatan nanti y pk amin rais😂 klo g fitnah dr skrg siapa mau pilih ank cucu mu kn😂😅,2025-05-25 12:39:27+00:00,0,debat_tv_one,1,1,0.0,0.0,7
user_35189,halah ngomongin konstitusi cuuihh give away dari paman aja bangga😂😂😂😂,2025-05-14 19:58:45+00:00,0,debat_tv_one,1,1,0.0,0.0,7
user_45695,busuknya keluarga tukang kayu sdh di buka satu persatu oleh tuhan. alam sedang bekerja.,2025-05-04 14:00:05+00:00,2,debat_tv_one,1,1,0.0,0.0,7
user_31970,"justru saudara yang bersumsi dan beretorita omong kosong, bukan bang roi, kok para pembela jokowi bodoh semua ya😅😅",2025-05-03 21:08:18+00:00,1,debat_tv_one,1,1,0.0,0.0,7
user_22271,smoga ibu pertiwi cepat pulih kembali seperti dahulu,2025-05-03 14:20:27+00:00,1,debat_tv_one,1,111,52668.53333333333,0.0,7
user_40466,pancinya pak ibu ta iyeh😂😂,2025-05-02 01:32:46+00:00,0,debat_tv_one,1,1,0.0,0.0,7
user_29062,"setuju pak,tdk ada hk mereka mengatur bapak",2025-05-01 23:05:29+00:00,0,debat_tv_one,2,2,50.93333333333333,0.6931471805599453,7
user_50005,"amin rais ini masih aja menebar isu yang tanpa dasar,udah unsur berhenti udah! urus cucumu aja!",2025-04-30 13:22:26+00:00,0,debat_tv_one,1,1,0.0,0.0,7
user_42402,"tunjukan buktinya ibu, jangan omon2 saja. 1 orang bisa membuat gaduh seluruh negeri. kebohongan tetaplah kebohongan apapun alasan yg digunakan.",2025-04-30 02:17:28+00:00,1,debat_tv_one,1,1,0.0,0.0,7
user_10097,bang karni ilyas kenapa tidak mengangkat berita hasto yg di suruh ibu menyuap ketua kpu ya😅😅😅 ibu siapa ya yg berani nyuruh hasto apa jangan2 bang karni ilyas anak buah ibu juga😊,2025-04-28 13:42:01+00:00,0,debat_tv_one,1,1,0.0,0.0,7
user_8314,kasihan wartawan bambang tri.jika benar rela dipenjara berpisah dengan keluarganya hanya untuk kebenaran sejati .untuk rakyat indonesia,2025-04-27 16:22:32+00:00,9,debat_tv_one,1,1,0.0,0.0,7
user_48266,apa jadinya nanti kalau kebongkar yg nguruh roy panci and the geng adalah “ibu” kita lihat ajalah,2025-04-27 15:42:08+00:00,0,debat_tv_one,1,1,0.0,0.0,7
user_4646,anak si silfester ga pengen apa nyadarin bapaknya?,2025-04-27 08:00:58+00:00,0,debat_tv_one,1,1,0.0,0.0,7
user_47630,"gk usah grafolog, saya yg ibu rt aja bisa melihat td tangannya beda kok 😂",2025-04-27 02:01:26+00:00,0,debat_tv_one,1,1,0.0,0.0,7
user_40933,apa jadinya kalau ibu rs adalah seorang pelacur?,2025-04-26 21:57:58+00:00,0,debat_tv_one,1,1,0.0,0.0,7
user_33224,"allah maha membolak balikan hati,sang ibu orang ugm itu sudah bicara sendiri fakultas kedokteran",2025-04-26 20:02:39+00:00,0,debat_tv_one,1,1,0.0,0.0,7
user_8209,"sodara roy tidak sadar sedang ditunggu perbuatannya yang melanggar hukum, nanti kalau sudah ada bukti kuat anda telah melanggar hukum, baru diambil tindakan, sekali melangkah anda tidak berkutik.",2025-04-26 19:59:59+00:00,0,debat_tv_one,1,1,0.0,0.0,7
user_4616,"kalo saya sampk kiamat pun ngk bakaln saya tunjukin, biar roy kowar kowar cari sesuap nasi untuk mnghidupin ank istrinya,",2025-04-26 15:39:32+00:00,0,debat_tv_one,2,7,8944.083333333334,0.6829081047004717,7
user_32912,nama ibu gw aja salah di akte lahir gw 😢😢,2025-04-26 14:53:38+00:00,0,debat_tv_one,1,1,0.0,0.0,7
user_23495,dah kita hakimi rame2 si jokowek n the genk.anaknya jga harus digulingkan jdi wapres titipan.dasar keluarga ndeso kelakuan dajjal👿. malah kabur ke vatikan menghindar.,2025-04-26 12:19:26+00:00,0,debat_tv_one,1,11,38.35,0.0,7
user_52849,"karena dia juga mantan pejabat negara. rakyat juga berhak tau roy itu anak haram tau bukan, tunjukkan ke umum donk kk orang tuanya sekaligus akta kelahirannya.",2025-04-26 11:38:33+00:00,0,debat_tv_one,1,1,0.0,0.0,7
user_52985,kerja malam untuk kepentingan anaknya dan kroni2nya yg menjilat kayak lok silvester,2025-04-26 05:22:55+00:00,0,debat_tv_one,1,6,229.08333333333334,0.0,7
user_52042,siap siap kakek bersama seluruh anggota akan bertanggung jawab atas tuduhan. yang di embusan,2025-04-26 04:04:03+00:00,0,debat_tv_one,1,1,0.0,0.0,7
user_18902,"gak ada malu silpester ini,, kasian keluarganya",2025-04-26 03:52:15+00:00,0,debat_tv_one,1,7,22.016666666666666,0.0,7
user_36585,lebih kejam daripada sengkuni bapak satu ini😅,2025-04-26 03:17:50+00:00,0,debat_tv_one,1,1,0.0,0.0,7
user_17625,"bagaimana kalo seandainya bapaknya selamat genting bukan ayah aslinya, apakah anda akan menghukum dan mengadili.?",2025-04-26 02:30:44+00:00,0,debat_tv_one,1,4,84.41666666666667,0.0,7
user_7536,"ksian mbh amin sdh tuha kog suka bangat ngurusin org, ingat kalo tua d penjara",2025-04-25 22:26:23+00:00,0,debat_tv_one,1,1,0.0,0.0,7
user_35337,saudara matutina kok tampil di ilc... ngak usahlah kalau ngajari ikan berenang kpd roy suryo. yg penting kamu dorong yg punya ijazah nunjukin ijazahnya dari pada kamu seakan2 nakut2i.,2025-04-25 19:28:17+00:00,0,debat_tv_one,1,2,3.15,0.0,7
user_16896,"woy gibran , angkat silfester ini jadi tukang sapu istana .. dia sangat ahli dan mati matian membela bapakmu wahai wapres 🎉🎉",2025-04-25 17:51:28+00:00,13,debat_tv_one,1,1,0.0,0.0,7
user_5087,berkali kalilah berpikir mas roy sebelum berbuat kasian istri anak anak mu jika nanti itu terbukti tidak benar,2025-04-25 16:49:33+00:00,0,debat_tv_one,1,1,0.0,0.0,7
user_39183,"roy suryo makanya ga bisa punya anak, karena kuntulnya lebih kecil dari kuntulnya daus mini,kata istrinya roy,geli aja ga,apa terasa kata istrii😂😂😂😂😂,coba kau buktikan tuduhan ku ini ke publik roy, berani ga kamu tunjukkan kuntulmu ke publik😂😂😂😂😂",2025-04-25 16:32:08+00:00,0,debat_tv_one,1,1,0.0,0.0,7
user_47560,ini ibarat sama seperti bapak dan anak anaknya atau presiden dan rakyat...kok tega sih bapak mau mempenjarakan anak anaknya hanya karna sianak ingin melihat ijazahnya bapaknya...aneh...,2025-04-25 15:23:41+00:00,0,debat_tv_one,1,1,0.0,0.0,7
user_33179,kita lihat apakah ybs. bisa melakukan pembuktian. inget aja kasus anaknya jadi wapres.....sudan kasak kusuk dulu....atur situ sini dulu...melukai konstitusi dan hati rakyat. semoga allah memberi hidayah dalam hidup yang hanya sekali.,2025-04-25 13:29:57+00:00,0,debat_tv_one,1,1,0.0,0.0,7
user_43858,konsitusi saja di langar.... anak belum umur di jadikan wakil presiden.... coba kalau anaknya waginem ..itu saja sudah gamblang lang...,2025-04-25 13:27:14+00:00,0,debat_tv_one,1,1,0.0,0.0,7
user_14331,"ujung,2 nya mbui lek jangan gelang geleng ndasmu , saya yakin ,amin ronges masuk penjara",2025-04-25 06:09:57+00:00,0,debat_tv_one,1,1,0.0,0.0,7
user_4577,"cek juga babaknya kandungnya jokowi siapa...kata wartawan senior ,.bapaknya ada d nusa kambangan...klu. msh jaman. bpkl suharto...sdh dihabisi pki gaya baru..",2025-04-25 02:04:34+00:00,0,debat_tv_one,1,2,5.383333333333334,0.0,7
user_26693,"kakek kakek sudah bau tanah sok suci, sedang ente pembohong penipu juga mau jalan engklek dari jakarta ke solo apabila pk jokowi menang di pilpres putaran kedua, nyatanya bohong, terus korupsi dana dari dinas kesehatan, hidupnya selalu nyebar kebencian.fitnah dendam.",2025-04-25 00:08:50+00:00,0,debat_tv_one,2,11,7982.2,0.5859526183035508,7
user_19167,"mantaaap pak roy, demi kebenaran lawan trs,, mau kepeped lapor polisi ampun aaah,,, salut sama nyali nya pak roy, netizen dukung bapa semua",2025-04-24 21:25:17+00:00,2,debat_tv_one,1,1,0.0,0.0,7
user_42993,"kalau bisa anak nya pun di usut lagi dong,,,pamanku pahlawanku itu .",2025-04-24 21:09:45+00:00,0,debat_tv_one,1,4,20.9,0.0,7
user_23280,uud mk aja ama kluarga nya buat nyalon putranya boleh preeet ah silat lidah pendukung jkw bisa aja,2025-04-24 17:51:23+00:00,0,debat_tv_one,1,1,0.0,0.0,7
user_24862,makanya kesimpulannya tdk ada anak mau memanjarakan org tuanya ... intinya copot dl jabatan pemimpin yg mengenai silsilahnya ... okey,2025-04-24 17:44:49+00:00,0,debat_tv_one,1,4,25.45,0.0,7
user_45141,duh pak jokowi bukan fitnah pak.. bapak yg bikin orang pada kesel gemesss tau!! dah ribed amat idup bapa yak!! tinggal unjukin ya allaaah bapak!!,2025-04-24 15:01:14+00:00,0,debat_tv_one,1,9,76.75,0.0,7
user_33372,arah ini ke anaknya gibran wapres ini bahaya.,2025-04-24 15:00:03+00:00,0,debat_tv_one,2,7,8728.35,0.410116318288409,7
user_51733,"sdh,jgn muter2,utk menutupi tuanya,ini saatnya keadilan yg hakiki lgi mcri jlnya sendri scr alami,mk ucpn manungso pasti hcr lebur...liang lahat,br pd diam setlh terjdi",2025-04-24 14:29:55+00:00,0,debat_tv_one,1,1,0.0,0.0,7
user_34871,"ini bapak bisa sangat bener, tp jgn contoh nya yg lagi santer terhdp pak joko wi",2025-04-24 14:22:14+00:00,0,debat_tv_one,1,22,249.4,0.0,7
user_31533,"gg mas roy!!! 2x menggentarkan keluarga mulyono. 1. fufufafa, 2. bos terakhir.",2025-04-24 10:31:09+00:00,0,debat_tv_one,1,1,0.0,0.0,7
user_26523,ngotot bngt si bapak batik biru...😁😁😁omongan.y nollll,2025-04-24 10:08:20+00:00,0,debat_tv_one,1,1,0.0,0.0,7
user_46782,kau ajalah yang manggil dia bapak. kalok aku kagak mau,2025-04-24 08:54:00+00:00,0,debat_tv_one,1,2,54.86666666666667,0.0,7
user_12129,bukan hanya jokowi yang hidupnya penuh kepalsuan tapi juga keluarganya... termasuk wapres fufuf..eh maksudnya gibran..sekolahnya ga jelas dimana 😂😂😂,2025-04-24 07:54:52+00:00,1,debat_tv_one,1,1,0.0,0.0,7
user_48486,pak suryo pengen masuk deruji besi ngga kasian sama keluarga kalo di penjara anak istrinya ikut malu,2025-04-24 07:21:49+00:00,0,debat_tv_one,2,2,8972.183333333332,0.6931471805599453,7
user_6158,ibu wening dari mukanya sdh kelihatan manusia gampang di suap alias doyan duit haram,2025-04-24 07:01:44+00:00,0,debat_tv_one,1,1,0.0,0.0,7
user_37959,"dulu biasae bu irma , sekarang ganti bung silves",2025-04-24 06:57:16+00:00,0,debat_tv_one,1,1,0.0,0.0,7
user_42155,putrinya suruh datang,2025-04-24 06:26:45+00:00,0,debat_tv_one,1,3,2.65,0.0,7
user_360,panda nanaban mn yg sm p panda nanababan ato kesalahan p jokowi pa panda jokowi orang yg telah bkin kesalahan selama di asuh partai pdip p jokowi hrs di penjarakan ok salam untuk ibunda mega wali sukarnu putri sebagai ketua umum pdip tlah di rusak sama pa jokowi widodo,2025-04-24 05:40:56+00:00,0,debat_tv_one,1,5,14.85,0.0,7
user_24292,"ikut main pak ndut, reshuffle kabinet, banyak yg rapor merah, angkat 4 orang yg cerdas inih masuk bantu bebenah... masak gak kepikirr...🤔🙄😒☹️",2025-04-24 04:54:32+00:00,0,debat_tv_one,1,6,169.2,0.0,7
