author,text,published_at,like_count,source,total_sources,total_comments,screening_time_min,source_entropy,cluster
user_25372,pertanyaan sederhana knp roi suryo tdk pernah memperlihatkan ijasahnya saja sebagai acuan keaslian atau pembanding?,2025-05-31 12:50:48+00:00,0,debat_tv_one,1,1,0.0,0.0,5
user_35449,"roy, rismon, tifa, dll, merekalah yang ijazah palsu, kenapa? negara tidak membutuhkan, roy sempat jadi menpan (maksudnya menteri panci) tapi ga lama. mereka ini adalah odgj, saya sarankan bawah mereka ke yayasan pornomo belajar baik. kalau mereka sembuh nanti di beri ijazah asli.",2025-05-29 10:46:02+00:00,0,debat_tv_one,1,2,2.75,0.0,5
user_39136,"amien gaca dong , pembohong mau sok suci, sudah pernah jilat ludah sdri dulu bilang mau jalan kaki ke solo mana di tepati",2025-05-28 16:17:13+00:00,0,debat_tv_one,2,2,39841.73333333333,0.6931471805599453,5
user_4437,si amin rais lain eling geus bau tanah,2025-05-28 13:09:08+00:00,0,debat_tv_one,1,1,0.0,0.0,5
user_21840,amin rais mkin gila,2025-05-28 09:01:50+00:00,0,debat_tv_one,2,2,18968.55,0.6931471805599453,5
user_46790,amin rais congore gombal,2025-05-27 16:40:29+00:00,0,debat_tv_one,1,1,0.0,0.0,5
user_37095,"❤❤❤❤❤masaallah bijak bapak martatoni ,bagus tdk ngotot kelihatan orang baik bijak ,,sehat sehat bapak",2025-05-27 16:34:02+00:00,0,debat_tv_one,1,1,0.0,0.0,5
user_50386,amin rais ini kenapa masih hidup???,2025-05-27 08:18:35+00:00,0,debat_tv_one,1,1,0.0,0.0,5
user_25138,"roy panci itu suka bohong, salah sebut ""fakultas kedokteran"" saja dianalisa berapi api sebagai suatu kesalahan / kebohongan. lain lagi ceritanya, ijasa yg sdh dianalisa itu sdh pasti palsu, ternyata ijasa yg dianalisa diambil dari youtube ..... tapi koar2 nya sdh kemana mana ..... roy panci ini sdh tdk bisa di percaya ..... semuanya bohong n hoax kalau keluar dari mulut si roypanci ..... nanti masuk penjara baru nangissss ... nanti lihat saja si roypanci menangis 😮😮😮😮😮😮",2025-05-27 03:26:39+00:00,0,debat_tv_one,2,2,37683.2,0.6931471805599453,5
user_36819,kolegan.nokowi..atau ternak jokowi .mana mengerti .ilmu teknologi informasi.teknologi sain,2025-05-26 18:19:33+00:00,0,debat_tv_one,1,3,43638.683333333334,0.0,5
user_49311,"seandai saya di minta tunjukin izasah dan minta foto copy klau gak ada hal penting g sya kasih bang roy,dri mna ada tau asli palau kalau gak saya kasih tau simpelnya.",2025-05-26 15:51:34+00:00,0,debat_tv_one,2,4,36054.01666666667,0.6931471805599453,5
user_11705,kor2 kau. amin rais,2025-05-26 15:45:38+00:00,0,debat_tv_one,2,2,27542.4,0.6931471805599453,5
user_20793,amin rais ketua muhammadiyah tapi sifatnya kayaknya bukan sifatnya seorang muslim.,2025-05-26 14:02:41+00:00,0,debat_tv_one,1,1,0.0,0.0,5
user_44257,org ni dh bau tanah msh menggiring opini masyarakat takut ank cucu nya g kebagian jabatan nanti y pk amin rais😂 klo g fitnah dr skrg siapa mau pilih ank cucu mu kn😂😅,2025-05-25 12:39:27+00:00,0,debat_tv_one,1,1,0.0,0.0,5
user_47358,terbukti roy panci narapidana cs mampus di penjara karena bareskrim udah cek lab ijazah pak jokowi asli... justru rismon tifa egi ijazahnya palsu..😅😅,2025-05-24 19:36:11+00:00,1,debat_tv_one,2,8,33552.183333333334,0.6615632381579821,5
user_4727,intinya kl gak berani nunjukin ijazahnya pasti ada u di balik b...z dukung pak roy suryo krn z cinta kebenaran dan kedamaian demi rakyat indonesia,2025-05-22 16:41:08+00:00,1,debat_tv_one,1,1,0.0,0.0,5
user_50613,aki aki peot bikin rusuh terus tuh si amin,2025-05-22 16:15:34+00:00,0,debat_tv_one,1,1,0.0,0.0,5
user_19192,"sy muak ke amin rais, gelandangan politik",2025-05-22 11:44:06+00:00,0,debat_tv_one,1,1,0.0,0.0,5
user_21310,saya orang awam tapi saya percaya 100% sama roy suryo dan rismon dan dr tifa bahwa ijasah jakowi palsu,2025-05-22 03:18:14+00:00,0,debat_tv_one,1,2,40214.083333333336,0.0,5
user_49506,simpel saja si roy panciiii itu kemakan poto hoax poto hoax ijazah woii😅,2025-05-22 01:46:30+00:00,0,debat_tv_one,1,1,0.0,0.0,5
user_49874,yang komen bazet bayaran gila jaman sekarang lawan si merah bener kata komandan bambang pacul korea tetep patuh pada ketuanya nauzubillah,2025-05-21 15:30:45+00:00,0,debat_tv_one,1,2,8.45,0.0,5
user_20603,"roy surio cs, suruh sj meneliti semua org punya ijazah mulai tk, sd, smp dan seterusnya.",2025-05-20 20:38:10+00:00,0,debat_tv_one,1,3,33.65,0.0,5
user_52841,amien rais stres wong edan makin tua makin nggak ada akhlak manusiawi,2025-05-20 17:56:52+00:00,1,debat_tv_one,1,2,1.8333333333333333,0.0,5
user_9960,sehat selalu bapak. jokowi🙏 jasamu akan selalu di hatiku.,2025-05-20 17:05:06+00:00,0,debat_tv_one,1,1,0.0,0.0,5
user_35273,"wah keliatan pas kuliah ngeselin ini roy suryo orgnya 🤣 perfeksionis, kita netral dan pantau saja tontonan anak bangsa saling serang saling bunuh, pas ud kacau , siap tampung lahan2 murah 🤑",2025-05-18 06:09:14+00:00,0,debat_tv_one,1,1,0.0,0.0,5
user_16580,"""sebagai warga negara, mas roy punya hak untuk bersuara soal ijazah pak jokowi. karena jabatan publik yang beliau emban memang menuntut transparansi. lain cerita kalau beliau hanya bekerja di perusahaan swasta, tentu itu bukan urusan publik."" apa di kubu jokowi tidak ada org lain yg di kirim kok yg lebih pintar dikit😂",2025-05-18 00:02:47+00:00,0,debat_tv_one,1,1,0.0,0.0,5
user_39352,anak bangsa yg mana mbah rais. yg ada juga rakyat sudah banyak sama tingkah laku mbah amin yg selalu bikin gaduh.,2025-05-16 00:14:50+00:00,0,debat_tv_one,1,2,7.666666666666667,0.0,5
user_35189,halah ngomongin konstitusi cuuihh give away dari paman aja bangga😂😂😂😂,2025-05-14 19:58:45+00:00,0,debat_tv_one,1,1,0.0,0.0,5
user_39927,kalau tak ada roy.. sistem laporan bisa menupi dan tidak berjalan. . harus viral bersama rakyat baru sistem berjalan..tampil ijazah takut mati ya😂,2025-05-14 14:22:14+00:00,0,debat_tv_one,1,1,0.0,0.0,5
user_52711,ayo pa jokowi tunjukin ijazah aslinya biar pa roy puas dan rakyat bangga paaa jangan malu2 paa,2025-05-13 14:51:15+00:00,4,debat_tv_one,1,1,0.0,0.0,5
user_14766,"tua banka bau tanah ini selalu di hdirkan di ilc, pak tua ni pembenci jw loh",2025-05-13 07:57:30+00:00,0,debat_tv_one,1,1,0.0,0.0,5
user_24719,seorang satria ngapain takut kalau nunjukin izajah aslinya biar cepet beres demen banget sih dituduh mulu....ada apa ini maksudnya apa ini...kalau orang biasa aja sih gak berlarut2 kaya gini saking aja bekas mantan ke 7,2025-05-13 03:23:45+00:00,0,debat_tv_one,1,1,0.0,0.0,5
user_45331,"dsini kuasa hukum jokowi blg klo dia mlihat sndiri ijazah asli jokowi pke mata kepala skligus otak nya, tp pas debat sm pak roy suryo saat dtanya sdh prnh lihat ijazah asli nya blm dia jwb blm prnh.. shrus nya bs dlaporkan ini sdh mnyanpaikan berita bohong(hoax)ke publik ddpn pers",2025-05-12 07:40:49+00:00,0,debat_tv_one,2,2,15840.533333333333,0.6931471805599453,5
user_4622,apapun ijasahnya jkw berguna buat rakyat indonesia daripada roy cuman buat gaduh,2025-05-11 22:35:13+00:00,0,debat_tv_one,1,1,0.0,0.0,5
user_31709,roy panci ngomong nya ngawur ke mana mana penyebar hoak nomor 1 di negeri ini kurang kerjaan ngurusin ijasah tk sd smp sma orang saja,2025-05-10 21:31:00+00:00,0,debat_tv_one,2,4,14886.216666666667,0.5623351446188083,5
user_35194,"ga kebayang klo ijazah jkowi asli, betapa kejamnya fitnah roy suryo",2025-05-10 18:18:47+00:00,0,debat_tv_one,1,1,0.0,0.0,5
user_44523,"roy suryo sudah membuktikan sriksip jokowi palsu, gantian sekarang jokowi harus membuktikan sriksipnya asli termasuk ijazah sd, smp, sma dan s-1?....",2025-05-10 16:53:49+00:00,21,debat_tv_one,1,3,27.683333333333334,0.0,5
user_20461,pak rais dkk kalian sudah tua sudah istirahat saja pak astagfirullah,2025-05-10 13:39:41+00:00,1,debat_tv_one,1,1,0.0,0.0,5
user_13686,udah lewat sekarang udah jadi rakyat bro itu orang ga sirik,2025-05-10 08:13:10+00:00,0,debat_tv_one,1,1,0.0,0.0,5
user_32615,"amin rais yang merusak bangsa indonesia, bukan jokowi. dah tua dan bau tanah",2025-05-10 07:30:09+00:00,0,debat_tv_one,2,5,16.666666666666668,0.5004024235381879,5
user_14783,amin rais pengianat bangsa,2025-05-09 19:45:48+00:00,0,debat_tv_one,2,2,12616.033333333333,0.6931471805599453,5
user_37389,mau asli.mau palsu ga ngaruh hidup kita ekonomi morat marit ko heboh masalah ijasah palsu roy2 sakit hati kx dia ini ga uadi.menteri lagi,2025-05-08 03:40:47+00:00,0,debat_tv_one,1,1,0.0,0.0,5
user_8519,karna dia mantan presiden !!! berani mencalonkan diri jadi presiden mau pun mantan presiden. wajar dong ijazah nya di pertanyakan . jangan bodoh membela jokowi pak ! usut dan tuntut dia memperlihatkan ijazahnya. benar pak roy,2025-05-07 23:58:57+00:00,1,debat_tv_one,1,2,2.183333333333333,0.0,5
user_15992,"aduuh kek rais dah tua,, nyebut dong.. masih ikut ikutan aja ngompor /panasin suasana hati publik,, sayang maaf anda harus nya jadi penyejuk.. masuk neraka tar loe pak amin rais (maaf hilang respeck gua selama ini ke loe astagfirullah al'azim",2025-05-07 21:57:47+00:00,0,debat_tv_one,1,1,0.0,0.0,5
user_13357,apa tujuan amin rais & kawan²..klo mmang pintar bantulh kpemerintahan untuk menuju indonesia mas,2025-05-07 17:02:14+00:00,0,debat_tv_one,1,1,0.0,0.0,5
user_50588,hahaaa klo izasahnya asli yauda brrti itu emang asli roy suryooo...,2025-05-07 16:56:46+00:00,0,debat_tv_one,1,2,5.1,0.0,5
user_40985,kalian ini yang dukung amin rais cs pikirannya dimana sih? gembel politik gitu masih di bela 😂,2025-05-07 16:40:44+00:00,0,debat_tv_one,2,4,8876.55,0.5623351446188083,5
user_47325,supaya adail buatkan surat pernyataan roy suryo dkk siap di penjara kalau ijasah nya asli,2025-05-07 00:58:13+00:00,0,debat_tv_one,1,2,1.4,0.0,5
user_14695,"doktor suryo, coba cari tahu tentang printer daisy wheel. printer ini bisa lho support justity dan sudah ada di tahun 1980. biar lebih akurat analisis doktor 😊",2025-05-05 20:56:47+00:00,0,debat_tv_one,1,1,0.0,0.0,5
user_10014,amin rais sengkuni,2025-05-05 13:33:49+00:00,0,debat_tv_one,1,2,2.5,0.0,5
user_48477,kasian nie orang ngebela si joko.. padahal dia tau salah ngebela orang,2025-05-05 13:11:26+00:00,0,debat_tv_one,1,1,0.0,0.0,5
user_52973,pak roy anda punya kemampuan untuk.mendeteksi dan membuktikan kepalsuan sebuah dokumen dengan pengetahuan dan kemampuan yang luar biasa. sekedar tanya saja pak roy apakah anda juga mampu untuk membuat suatu dokumen asli menjadi palsu?,2025-05-05 12:48:21+00:00,0,debat_tv_one,1,2,15.133333333333333,0.0,5
user_40516,semua itu ada dalang nya. para wayang yg trprofokasi oleh dalang amin nangis. 😮😮,2025-05-05 07:58:55+00:00,0,debat_tv_one,1,1,0.0,0.0,5
user_12027,sengkuni amin rais harus ikut di penjarakan,2025-05-05 04:34:30+00:00,0,debat_tv_one,1,1,0.0,0.0,5
user_34045,sebaliknya 1000% rakyat indonesia sudah muak dengan amin rais,2025-05-04 22:32:29+00:00,0,debat_tv_one,3,4,38636.35,1.0397207708399179,5
user_29585,oooh jadi amin rais dalangnya😅,2025-05-04 14:04:09+00:00,0,debat_tv_one,1,1,0.0,0.0,5
user_45695,busuknya keluarga tukang kayu sdh di buka satu persatu oleh tuhan. alam sedang bekerja.,2025-05-04 14:00:05+00:00,2,debat_tv_one,1,1,0.0,0.0,5
user_13944,amin rahis kok tumben bodoh ber arti masih pinteran jokowi ya .saya salah menilai dulu amin rais terkenal pinter politi k.ternyata jauh dibandingkan jokowi.,2025-05-04 11:24:39+00:00,0,debat_tv_one,2,3,1791.5833333333333,0.6365141682948128,5
user_40163,ya allah kirain om roy udh pernah liat ijazah aslinya..ternyata yg dianalis yg menurutny poto ijazah asli pak jokowi bukan ijazah asli yg fisik. iih ngeri kali loh..mmg tll aneh krn dia analisa foto ijazah n trs minta pembuktian..lah kan dia sendiri yg repot² koar loh..gellohh ah ky g ad negatif lain yg bs dikulik wooyy... maaluu deh..,2025-05-04 04:48:49+00:00,0,debat_tv_one,1,1,0.0,0.0,5
user_7760,sengkuni amin rais bikin onar lagi. 😂😂😂,2025-05-04 03:25:35+00:00,0,debat_tv_one,1,1,0.0,0.0,5
user_3459,"undang si abimanyu lah yg pro ke jokowi.. berani gak dy adu data ilmiah,kan sama2 ahli digital forensik 😅 di undang di inews gak datang 🤪",2025-05-03 21:22:30+00:00,1,debat_tv_one,1,1,0.0,0.0,5
user_31970,"justru saudara yang bersumsi dan beretorita omong kosong, bukan bang roi, kok para pembela jokowi bodoh semua ya😅😅",2025-05-03 21:08:18+00:00,1,debat_tv_one,1,1,0.0,0.0,5
user_17508,"buset dah mati2an bela joko, gua mah malu klo jd anaknya",2025-05-03 19:20:54+00:00,1,debat_tv_one,1,1,0.0,0.0,5
