author,text,published_at,like_count,source,total_sources,total_comments,screening_time_min,source_entropy,cluster
user_25372,pertanyaan sederhana knp roi suryo tdk pernah memperlihatkan ijasahnya saja sebagai acuan keaslian atau pembanding?,2025-05-31 12:50:48+00:00,0,debat_tv_one,1,1,0.0,0.0,11
user_35449,"roy, rismon, tifa, dll, merekalah yang ijazah palsu, kenapa? negara tidak membutuhkan, roy sempat jadi menpan (maksudnya menteri panci) tapi ga lama. mereka ini adalah odgj, saya sarankan bawah mereka ke yayasan pornomo belajar baik. kalau mereka sembuh nanti di beri ijazah asli.",2025-05-29 10:46:02+00:00,0,debat_tv_one,1,2,2.75,0.0,11
user_4437,si amin rais lain eling geus bau tanah,2025-05-28 13:09:08+00:00,0,debat_tv_one,1,1,0.0,0.0,11
user_21840,amin rais mkin gila,2025-05-28 09:01:50+00:00,0,debat_tv_one,2,2,18968.55,0.6931471805599453,11
user_2641,knapa pak jokowi ngomongnya pelan karna mulut pak jokowi gk sama dengan cangkemu roy,2025-05-27 18:32:49+00:00,0,debat_tv_one,1,1,0.0,0.0,11
user_25302,roy suryo itu terlalu benci dg jokowi kenapa ya?,2025-05-27 10:24:30+00:00,0,debat_tv_one,1,2,2.4833333333333334,0.0,11
user_50386,amin rais ini kenapa masih hidup???,2025-05-27 08:18:35+00:00,0,debat_tv_one,1,1,0.0,0.0,11
user_25138,"roy panci itu suka bohong, salah sebut ""fakultas kedokteran"" saja dianalisa berapi api sebagai suatu kesalahan / kebohongan. lain lagi ceritanya, ijasa yg sdh dianalisa itu sdh pasti palsu, ternyata ijasa yg dianalisa diambil dari youtube ..... tapi koar2 nya sdh kemana mana ..... roy panci ini sdh tdk bisa di percaya ..... semuanya bohong n hoax kalau keluar dari mulut si roypanci ..... nanti masuk penjara baru nangissss ... nanti lihat saja si roypanci menangis 😮😮😮😮😮😮",2025-05-27 03:26:39+00:00,0,debat_tv_one,2,2,37683.2,0.6931471805599453,11
user_49311,"seandai saya di minta tunjukin izasah dan minta foto copy klau gak ada hal penting g sya kasih bang roy,dri mna ada tau asli palau kalau gak saya kasih tau simpelnya.",2025-05-26 15:51:34+00:00,0,debat_tv_one,2,4,36054.01666666667,0.6931471805599453,11
user_11705,kor2 kau. amin rais,2025-05-26 15:45:38+00:00,0,debat_tv_one,2,2,27542.4,0.6931471805599453,11
user_20793,amin rais ketua muhammadiyah tapi sifatnya kayaknya bukan sifatnya seorang muslim.,2025-05-26 14:02:41+00:00,0,debat_tv_one,1,1,0.0,0.0,11
user_47358,jak tv ketangkap kejagung karena dibayar utk menjelekkan jokowi dan pragib dengan bayaran dari koordinator tom lembong pendukung fpi hti dr antek asing 😅,2025-05-24 20:00:18+00:00,1,debat_tv_one,2,8,33552.183333333334,0.6615632381579821,11
user_47358,terbukti roy panci narapidana cs mampus di penjara karena bareskrim udah cek lab ijazah pak jokowi asli... justru rismon tifa egi ijazahnya palsu..😅😅,2025-05-24 19:36:11+00:00,1,debat_tv_one,2,8,33552.183333333334,0.6615632381579821,11
user_28913,"mmg penjilat slalu menutupi kebohongan jokowi dan gibran ,,. sy dukung trus pak roy suryo cs ttp tegakkan kebenaran,,,karna pki gaya baru sdh berkembang di negara republik indonesia kita tercinta",2025-05-24 19:28:52+00:00,0,debat_tv_one,1,1,0.0,0.0,11
user_17912,suryo di austria sini sudah maju anda bikin bangsa indonesia mundur anda bikin malu bangsa ini tar nangis minta maaf sama jokowi parah roy suryo omong kosong kamu penjarakan secepatnya,2025-05-23 23:13:42+00:00,0,debat_tv_one,1,3,41.2,0.0,11
user_4727,intinya kl gak berani nunjukin ijazahnya pasti ada u di balik b...z dukung pak roy suryo krn z cinta kebenaran dan kedamaian demi rakyat indonesia,2025-05-22 16:41:08+00:00,1,debat_tv_one,1,1,0.0,0.0,11
user_50613,aki aki peot bikin rusuh terus tuh si amin,2025-05-22 16:15:34+00:00,0,debat_tv_one,1,1,0.0,0.0,11
user_19192,"sy muak ke amin rais, gelandangan politik",2025-05-22 11:44:06+00:00,0,debat_tv_one,1,1,0.0,0.0,11
user_5696,kalo sampe ijasah jokowi palsu berarti semua teman seangkatan mesti di penjara termasuk semua dosen dan dekan serta rektor ugm...!!! tapi lebih baik roy suryo cs deh yang di penjara...!!! cuma bikin gaduh nkri saja...!!!,2025-05-22 10:10:43+00:00,0,debat_tv_one,1,2,9911.366666666667,0.0,11
user_21310,saya orang awam tapi saya percaya 100% sama roy suryo dan rismon dan dr tifa bahwa ijasah jakowi palsu,2025-05-22 03:18:14+00:00,0,debat_tv_one,1,2,40214.083333333336,0.0,11
user_49506,simpel saja si roy panciiii itu kemakan poto hoax poto hoax ijazah woii😅,2025-05-22 01:46:30+00:00,0,debat_tv_one,1,1,0.0,0.0,11
user_20603,"roy surio cs, suruh sj meneliti semua org punya ijazah mulai tk, sd, smp dan seterusnya.",2025-05-20 20:38:10+00:00,0,debat_tv_one,1,3,33.65,0.0,11
user_52841,masyarakat sudah what what yang salah ini kami pendukung joko widodo kalimantan tengah,2025-05-20 17:58:42+00:00,1,debat_tv_one,1,2,1.8333333333333333,0.0,11
user_52841,amien rais stres wong edan makin tua makin nggak ada akhlak manusiawi,2025-05-20 17:56:52+00:00,1,debat_tv_one,1,2,1.8333333333333333,0.0,11
user_41949,"silvester udah ditantang mas roy masih tetap ngeyel,buktikan saja ijasah junjungan mu gak palsu nanti vester,jgn malah menuduh org membunuh karakterlah,menyebar hoak lah....buktikannnnn !!!!!!!",2025-05-20 16:57:46+00:00,0,debat_tv_one,1,2,6.35,0.0,11
user_30349,roy suryo pasti pendukung partai lawan prabowo bener ga coba.....oh ia roy suryo udah hafal lagu indonesia raya belom ya,2025-05-18 17:01:16+00:00,0,debat_tv_one,1,1,0.0,0.0,11
user_35273,"wah keliatan pas kuliah ngeselin ini roy suryo orgnya 🤣 perfeksionis, kita netral dan pantau saja tontonan anak bangsa saling serang saling bunuh, pas ud kacau , siap tampung lahan2 murah 🤑",2025-05-18 06:09:14+00:00,0,debat_tv_one,1,1,0.0,0.0,11
user_16580,"""sebagai warga negara, mas roy punya hak untuk bersuara soal ijazah pak jokowi. karena jabatan publik yang beliau emban memang menuntut transparansi. lain cerita kalau beliau hanya bekerja di perusahaan swasta, tentu itu bukan urusan publik."" apa di kubu jokowi tidak ada org lain yg di kirim kok yg lebih pintar dikit😂",2025-05-18 00:02:47+00:00,0,debat_tv_one,1,1,0.0,0.0,11
user_39352,anak bangsa yg mana mbah rais. yg ada juga rakyat sudah banyak sama tingkah laku mbah amin yg selalu bikin gaduh.,2025-05-16 00:14:50+00:00,0,debat_tv_one,1,2,7.666666666666667,0.0,11
user_39927,kalau tak ada roy.. sistem laporan bisa menupi dan tidak berjalan. . harus viral bersama rakyat baru sistem berjalan..tampil ijazah takut mati ya😂,2025-05-14 14:22:14+00:00,0,debat_tv_one,1,1,0.0,0.0,11
user_37265,🗣️pov almarhum rizal ramli. tuhan aja dia tidak takuti 😬,2025-05-14 05:38:26+00:00,0,debat_tv_one,1,1,0.0,0.0,11
user_52711,ayo pa jokowi tunjukin ijazah aslinya biar pa roy puas dan rakyat bangga paaa jangan malu2 paa,2025-05-13 14:51:15+00:00,4,debat_tv_one,1,1,0.0,0.0,11
user_45331,"dsini kuasa hukum jokowi blg klo dia mlihat sndiri ijazah asli jokowi pke mata kepala skligus otak nya, tp pas debat sm pak roy suryo saat dtanya sdh prnh lihat ijazah asli nya blm dia jwb blm prnh.. shrus nya bs dlaporkan ini sdh mnyanpaikan berita bohong(hoax)ke publik ddpn pers",2025-05-12 07:40:49+00:00,0,debat_tv_one,2,2,15840.533333333333,0.6931471805599453,11
user_4622,apapun ijasahnya jkw berguna buat rakyat indonesia daripada roy cuman buat gaduh,2025-05-11 22:35:13+00:00,0,debat_tv_one,1,1,0.0,0.0,11
user_27473,"pak andi sudahlah, gak usah nyari² duit disitu, mending keluar aja dri lingkar hitam itu, bang roy udah pakarnya dibidang itu, jadi selain dripda lingkaran pak andi, gak akan mungkin ada yg rakyat indonesia yg percaya apalagi dengerin omongan bapak 🤦‍♂️😭",2025-05-11 16:41:58+00:00,0,debat_tv_one,1,1,0.0,0.0,11
user_31709,roy panci ngomong nya ngawur ke mana mana penyebar hoak nomor 1 di negeri ini kurang kerjaan ngurusin ijasah tk sd smp sma orang saja,2025-05-10 21:31:00+00:00,0,debat_tv_one,2,4,14886.216666666667,0.5623351446188083,11
user_35194,"ga kebayang klo ijazah jkowi asli, betapa kejamnya fitnah roy suryo",2025-05-10 18:18:47+00:00,0,debat_tv_one,1,1,0.0,0.0,11
user_29945,bentar lagi ada yg masuk penjara....yakin aing mah 1000%,2025-05-10 18:05:27+00:00,0,debat_tv_one,2,2,14510.233333333334,0.6931471805599453,11
user_44523,"roy suryo sudah membuktikan sriksip jokowi palsu, gantian sekarang jokowi harus membuktikan sriksipnya asli termasuk ijazah sd, smp, sma dan s-1?....",2025-05-10 16:53:49+00:00,21,debat_tv_one,1,3,27.683333333333334,0.0,11
user_39110,"silvester omon2 doang! ga ada isinya sama sekali, blunder ga jelas! pdhl fakta yg disampaikan roy suryo jelas bgt😂🤣 dia pernah kuliah ga sih??? 🤭 dia pikir kita semua bodoh n gampang digiring 😅",2025-05-10 16:02:12+00:00,1,debat_tv_one,1,1,0.0,0.0,11
user_20461,pak rais dkk kalian sudah tua sudah istirahat saja pak astagfirullah,2025-05-10 13:39:41+00:00,1,debat_tv_one,1,1,0.0,0.0,11
user_29144,"woi roy anj, disini bilang tesis itu skripsi jokowi, pas debat lawan hasibuan kmren bilang yg tesis bukan punya jokowi, emang bgst ini manusia pengadu domba",2025-05-10 07:45:13+00:00,0,debat_tv_one,2,2,6684.083333333333,0.6931471805599453,11
user_32615,"amin rais yang merusak bangsa indonesia, bukan jokowi. dah tua dan bau tanah",2025-05-10 07:30:09+00:00,0,debat_tv_one,2,5,16.666666666666668,0.5004024235381879,11
user_14783,amin rais pengianat bangsa,2025-05-09 19:45:48+00:00,0,debat_tv_one,2,2,12616.033333333333,0.6931471805599453,11
user_17537,bpa roy kalau dlu bpa roy kasi sekolah bpa jokowi bearti bpa roy bilang bpa jokowi ijasa palsu siyap masuk sudh,2025-05-09 15:13:13+00:00,0,debat_tv_one,2,7,2189.483333333333,0.6829081047004717,11
user_49216,"amin rais pun harus di tuntut, klu izasah pak jokowi asli.😂",2025-05-09 14:53:18+00:00,0,debat_tv_one,2,12,2423.383333333333,0.45056120886630463,11
user_4846,kami tdk setuju mas roy cs mengatakan ijasa pak jokowi palsu.,2025-05-09 13:37:44+00:00,0,debat_tv_one,1,3,6.016666666666667,0.0,11
user_40967,roy suryo dan kawan2 sdh mempertaruhkan diri sbg garda terdepan mengusut keaslian ijasah jokowi..mewakili rakyat roy surya mencari kebenaran mari kita suport utk masa depan bangsa ini,2025-05-09 04:56:36+00:00,1,debat_tv_one,1,2,10.2,0.0,11
user_16177,pak roy ini orgny cerdas dan pinter serta tenang dlm berbecara tdk pernah motong lwn becara indon bangga pnya ank bangsa seperti mereka2 ini yg pnya loyalitas yg tinggi.sudah lh bpk2 yg di atas jgn persoalkn ijazah lg fikirkn masryakat yg lgi susah dan bnyk problem ekonom dan masih bnyk lgi yg lain yg hrs di urus oleh negara.,2025-05-09 01:55:07+00:00,0,debat_tv_one,1,1,0.0,0.0,11
user_37389,mau asli.mau palsu ga ngaruh hidup kita ekonomi morat marit ko heboh masalah ijasah palsu roy2 sakit hati kx dia ini ga uadi.menteri lagi,2025-05-08 03:40:47+00:00,0,debat_tv_one,1,1,0.0,0.0,11
user_8519,karna dia mantan presiden !!! berani mencalonkan diri jadi presiden mau pun mantan presiden. wajar dong ijazah nya di pertanyakan . jangan bodoh membela jokowi pak ! usut dan tuntut dia memperlihatkan ijazahnya. benar pak roy,2025-05-07 23:58:57+00:00,1,debat_tv_one,1,2,2.183333333333333,0.0,11
