author,text,published_at,like_count,source,total_sources,total_comments,screening_time_min,source_entropy,cluster
user_11767,"ya sdh pasti jokowi merasa ketakutan ditahun 2017untuk memberikan hormat nya kepada ahmad sumitro yg diketahui sebagai dosen pembimbing nya, disaat itu pak ahmad sumitro belum almarhum (meninggal 2022)",2025-06-01 04:15:52+00:00,0,debat_tv_one,1,1,0.0,0.0,1
user_8647,badan hukum di periksa bareskrim polri bisa juga bilang asli ijazah jokowi dodo itu karena ada sekongkolan di belakang layar. palsu ijazah jokowi dodo itu bisa di bilang asli. itu bisa aja bermain mata.dengan jokowi dodo itu aja.. gus nur dan bambang tri masuk karena ijazah nya jokowi dodo itu tidak pernah di perlihatkan.hanya asumsi aja.. 😮😮😮 jelas di tuduh pencemaran nama baik si jokowi dodo itu aja yang jelas bernain hakim di belakang layar.aja... maju terus mas roy cs terus bongkar terus terang ijazah nya jokowi dodo itu....😮 keterbukaan informasi publik harus di siarkan langsung terus menerus jangan sampai mati..😮😮😮😮,2025-05-30 20:01:31+00:00,0,debat_tv_one,1,2,43.96666666666667,0.0,1
user_8647,seorang publik pejabat negara atau mantan pejabat negara indonesia orang nomor satu atau dua atau pejabat negara lainnya. harus di minta pertanggung jawaban nya dan harus memberikan informasi untuk publik indonesia tau semua nya. tidak terkecuali tidak di kasih tau atau di perlihatkan di publikasikan. itu menurut undang undang konstitusi negara indonesia ini. 😮 yang jelas ijazah palsu jokowi dodo itu palsu ijazah nya. kalau merasa benar atau asli ijazah nya tidak mungkin selaluu membela diri atau menutupi ijazah nya yang dari ugm yogyakarta itu. yang jelas ijazah nya jokowi dodo itu palsu.😮😮😮😮 harus di bawa kerana hukum pemalsuan dokumen negara indonesia ini 😮😮😮😮 hukumannya 6 tahun penjara.😮😮😮,2025-05-30 19:17:33+00:00,0,debat_tv_one,1,2,43.96666666666667,0.0,1
user_1505,"pertanyaan kami dari masarakat kecilnya, knapa baru skarang mereka cek ijasanya pa jokowi kalo memang benar2 palsu, pesan saya tlg kasi penjara yg seberat berat orang itu yg menghina pa jokowi dodo,",2025-05-29 15:33:53+00:00,0,debat_tv_one,1,1,0.0,0.0,1
user_32879,❤❤❤❤rakyat menyatakan ijasahnya pak jokowi palsu ❤❤❤❤,2025-05-28 18:11:31+00:00,0,debat_tv_one,1,2,1.65,0.0,1
user_11932,sylvester ingatkan ke jokowi pak tunjukin aja ijazah asli nya kasian rakyat jadi gadu gara² ijazah bpk tdk di kasih mlihat ke publik 😁,2025-05-28 16:53:59+00:00,0,debat_tv_one,1,1,0.0,0.0,1
user_22271,kalo si wowie negarawan harus nya dia tunjukan itu ijazah..dia itu mantan presiden..dan sampai sekarang masih di gaji oleh duit rakyat..rakyat hanya perlu tunjukan doang dia gs mau..buseettt dah😂😂,2025-05-27 15:40:15+00:00,1,debat_tv_one,1,111,52668.53333333333,0.0,1
user_19451,kalo dia bukan mantan presiden juga ga akan bnyak yg pengen buktiin. ngapain juga anyink,2025-05-27 07:04:35+00:00,0,debat_tv_one,1,1,0.0,0.0,1
user_17567,"tunjukikan saja jgn byk ngomong pengscsrsnya saja hrslh kalau jokowi krn kasus ijazah palsunya sdh msksn korban ,sp th ada oknum ternsknya jokowi jg dsna",2025-05-26 16:52:48+00:00,0,debat_tv_one,1,1,0.0,0.0,1
user_49838,ngpain nunjukin ijazah ke sampah2 😂 walau sudah tidak menjabat beliau tetap presidan ri ke 7,2025-05-26 05:51:32+00:00,0,debat_tv_one,1,1,0.0,0.0,1
user_10478,sampai saat ini niii....saya sebagai publik umum....belum percaya penuh .... sebelum di tunjukkan langsung dari tangan jokowi sendiri ijasah asli nya kepada publik dan wartawan semua media di dunia 👍👍👍👍👍😎😎,2025-05-26 04:43:49+00:00,0,debat_tv_one,1,1,0.0,0.0,1
user_20116,"coba seandainya pagi2 ada segerombolan orang yang datang ke rumah kalian, memaki maki kalian dan memaksa kalian menunjukkan ijazah, apa iya kalian dengan mudah menuruti kemauan mereka? apa wewenang mereka memaksa maksa dan apa hak kalian untuk menuruti kemauan mereka? klau terjadi pada diri saya apa yg di alami oleh bapak jokowi saya sebagai orang madura sebelum ijazah yg keluar ya mungkin clurit dlu yg menemui mereka 😊",2025-05-25 20:51:40+00:00,0,debat_tv_one,1,1,0.0,0.0,1
user_2362,", coba bayangkan sdh dua tahun lebih tdk pernah di tunjukan ijazahnya, publik berhak utk mengetahui karena masalah ini sdh memakan korban dua org, dan lagi oula pak jokowi itu pejabat negara,, kecuali orang yg tdk ada kaitannya dgn jabatan di negara ini maka publik tdk punya wewenang tdk ada hak utk menabyakan ijazah sembarang org, biarkan ijazahnya palsu selama tdk di salah gunakan utk menjadi pejabat negara,",2025-05-25 17:11:09+00:00,0,debat_tv_one,1,1,0.0,0.0,1
user_11796,berwenang kita lihat asli atau palsu..karna ..anda perna jadi presiden.lo mo nyalonnya gimn,2025-05-25 16:02:54+00:00,0,debat_tv_one,1,1,0.0,0.0,1
user_1792,"yang asli tidak ditunjukan jokowi berkemungkinkan ada juga , enggak ada .saya heran semua org tida ada yg mengucap bismillahirohman nirohim padhal dunia mengetahui indonesia 98 persen menganut islam dan kenyataanya tidak 1. pun. pembukaan dari penjelasanya dg nama allah nah dg ini juga ke terang semua tidak takut kala berbohong .",2025-05-25 01:46:02+00:00,0,debat_tv_one,1,6,86.33333333333333,0.0,1
user_1792,saya heran pd semua org takada yg mau mita ijaza kerna penting penyelidikan ke apsyahanya bukan sekedar pinjam kerna ijazah utk keapsyahan jadi persiden persiden di pilih rakyat jadi rakyat ingin tau ke apsyahan sebagai keapsahan adm jokowi .,2025-05-25 01:28:57+00:00,0,debat_tv_one,1,6,86.33333333333333,0.0,1
user_24919,"kl saya di minta tunjukin ijazah sm org yg ga saya kenal yaa nanti dulu,,siapa anda 😂😂,,kasian aj sm pak jokowi udh banyak bantu rakyat,, tp rakyat bukan nya terima kasih malah di tuduh yg ga gak,, dr dulu lo di fitnah dan tuduh…saya sebagai rakyat yg waras lebih baik kerja baik baik dr pada ngurusin idup nya org yg ga pernah ngasih kita makan dan uang 😅😅😅 mau palsu atau gak gw ttp kerja dan cari makan sendiri 😅😅 hidup rakyat waras ..",2025-05-25 01:18:36+00:00,0,debat_tv_one,2,2,6.683333333333334,0.6931471805599453,1
user_1792,"ijasa harus di beberkan pada seluruh pornawirawan sebagai saksi bahwa ijazah itu ada bukan hanya ditunjukan pd org org jokowi saja .rakyat percaya sebagai bukti ada tunjuka pd pornawirawan dan ijasa itu akan di selidiki ke spzahanya secara ilmia , dan jika. ijazah itu asli tentu jokowi dan org org nya tidak akan takut. . kala takut itu berkemungkinan palsu .",2025-05-25 00:30:03+00:00,0,debat_tv_one,1,6,86.33333333333333,0.0,1
user_1792,"jokowi yg minta ijasa itu rakyat kan jogowi bisa jadi persiden oleh rakyat kenapa jokowi rakyat tanya ttg ijasa jokowi justu jokowi mau penjarakan rakyat , sehat zpa enggak .",2025-05-25 00:19:42+00:00,0,debat_tv_one,1,6,86.33333333333333,0.0,1
user_47358,karni keliatan memihak penuduh ijazah palsu pak jokowi 😅😅😅...motong mulu omongan pak silfester giliran roy panci narapidana malah di bebaskan terus ngomong...benci amat ma pak jokowi ya 😅😅 ???,2025-05-24 19:58:06+00:00,1,debat_tv_one,2,8,33552.183333333334,0.6615632381579821,1
user_18194,"yakup sok.tau, bukan begitu nyikapinya pinginnya masyarakat itu maunya trrbuka saat bareskrin menunjukkan ijazah jokowi, sementara polda hanya pegang foto copy saja, rakyat maunya gelar perkara di sidang semua bisa menyaksikan jgn ujug2 bsreskrim mutusin ijazah jokowi asli, madyarskst percaya sama bareskrim.kalau begitu.",2025-05-24 13:52:13+00:00,1,debat_tv_one,1,1,0.0,0.0,1
user_44756,yg menjadi pertanyaan kenapa mantan presiden yg lain tdk di ributin ijazahnya.,2025-05-22 16:51:10+00:00,0,debat_tv_one,1,1,0.0,0.0,1
user_15115,yang setuju yakin ijazah pak jokowi asli acung,2025-05-22 15:22:40+00:00,0,debat_tv_one,1,1,0.0,0.0,1
