author,text,published_at,like_count
user_36,"Badan hukum di periksa Bareskrim polri 
BISA juga bilang asli ijazah Jokowi Dodo itu 
Karena ada sekongkolan di belakang layar.
Palsu ijazah Jokowi Dodo itu 
Bisa di bilang asli.
Itu bisa aja bermain mata.dengan Jokowi Dodo itu aja..
Gus nur dan Bambang tri masuk karena ijazah nya Jokowi Dodo itu tidak pernah di perlihatkan.hanya asumsi 
Aja..
😮😮😮
Jelas di tuduh pencemaran nama baik si Jokowi Dodo itu aja 
Yang jelas bernain hakim di belakang layar.aja...
Maju terus mas Roy cs 
 Terus bongkar terus terang ijazah nya Jokowi Dodo itu....😮
Keterbukaan informasi publik harus di siarkan langsung terus menerus jangan sampai mati..😮😮😮😮",2025-05-30T20:01:31Z,0
user_36,"Seorang Publik pejabat negara atau mantan pejabat negara Indonesia orang nomor satu atau dua atau pejabat negara lainnya.
Harus di minta pertanggung jawaban nya dan harus memberikan informasi untuk publik Indonesia tau semua nya.
Tidak terkecuali tidak di kasih tau atau di perlihatkan di publikasikan.
Itu menurut undang undang konstitusi negara Indonesia ini.
😮 Yang jelas ijazah palsu Jokowi Dodo itu palsu ijazah nya.
Kalau merasa benar atau ASLI ijazah nya tidak mungkin selaluu membela diri atau menutupi ijazah nya yang dari UGM Yogyakarta itu.
Yang jelas ijazah nya Jokowi Dodo itu palsu.😮😮😮😮
Harus di bawa kerana hukum pemalsuan dokumen negara Indonesia ini 😮😮😮😮
Hukumannya 6 Tahun penjara.😮😮😮",2025-05-30T19:17:33Z,0
user_37,Lawyer lohikanyanngaco,2025-05-30T14:26:27Z,0
user_38,Wkwkwkw ijazahnya suruh ambil sama sopirnya😂😂😂😂 bagus bagus segitunya ijazah ngak ada harga karna udha tua😂 Mega gimana tuh perihal menjual INDOSAT dll?😂😂😂 Iajazahnya tunjukin juga😂😂😂,2025-05-30T13:42:23Z,0
user_39,"Kalau kebencian sudah menguasai hati nurani, kebenaran apapun tidak akan terlihat, meski bukti bukti nyata dari penerbit ijazah sudah menyatakan bahwa ijazah itu benar dikeluarkan oleh pihak UGM. 
Ujung ujungnya adalah membatalkan keputusan yang telah dibuat oleh Presiden dimasa periode ybs berkuasa.
1. Pembubaran HT$ batal.
2. Pembubaran FP$ batal. 
Terlihat di belakang mereka dari kubi itu.",2025-05-30T13:24:01Z,0
user_40,"Dr sini sdh menjelaskan kebenarannya...
Knp pihak ugm tidak berkenan hadir disini.....",2025-05-30T04:28:32Z,0
user_41,Paling jokowi itu hanya ngaku ngaku alumni UGM 👎,2025-05-29T20:09:07Z,0
user_42,Sakit hati habis di penjara Roy Suryono,2025-05-29T18:52:49Z,0
user_23,Maju terus bung roy suryo dkk,2025-05-29T15:54:41Z,0
user_23,Maju terus bung roy suryo dkk,2025-05-29T15:54:26Z,0
user_23,Maju terus bung roy suryo dkk,2025-05-29T15:54:11Z,0
user_23,Maju terus bung roy suryi dkk,2025-05-29T15:53:55Z,0
user_23,Bravo bung roy suryo dkk,2025-05-29T15:53:40Z,0
user_23,Bravo bung roy suryo dkk,2025-05-29T15:53:25Z,0
user_23,Bravo bung roy suryo dkk,2025-05-29T15:52:55Z,0
user_43,"pertanyaan kami dari masarakat kecilnya, knapa baru skarang mereka cek ijasanya pa Jokowi kalo memang benar2  palsu, pesan saya tlg kasi penjara yg seberat berat orang itu yg menghina pa Jokowi Dodo,",2025-05-29T15:33:53Z,0
