author,text,published_at,like_count,source,weekly_period,cluster
user_55001,"saya sbagai masyarakat merasa prihatin mlihat para pemimpin negri ini,apa karna terlahir dari kemanjaan orang tua,sehingga memimpin negri ini sperti lelucon asal asalan",2025-04-24 01:07:32,11,debat_tv_one,2025-04-21,6
user_40947,"emang palsu, cuma banyak pejabat penegak hukum bahkan ma, mk gak ada yg berani menindak",2025-04-24 01:09:11,53,debat_tv_one,2025-04-21,6
user_40218,"*gak penting mmbajas izasah palsu... yg penting itu mmbahas nasab nasab palsu ... yg selalu bikin kisruh gaduh ... menyesatkan umat ,, terahir masa iya leluhurnya jadi kaki tangan belanda.. diusulkan jadi pahlawan nasional... itu lebih pnting !!!!!!!!*",2025-04-24 01:10:41,0,debat_tv_one,2025-04-21,6
user_2285,kenapa indonesia ni bisa di propaganda oleh yg gak jelas org lain punya pemikiran untuk mau merubah indonesia ini lebih bagus,2025-04-24 01:12:46,0,debat_tv_one,2025-04-21,6
user_48697,"saya sudah muak dengan drama konoha... tinggal tunjukan saja itu ijazah, kalau pak joko tetep tak mau tunjukan juga, tinggal siapa orang yang bisa membuat dia berani tunjukan, beres semua. paham sampai sini?..",2025-04-24 01:12:57,91,debat_tv_one,2025-04-21,6
user_50252,takut hakimnya di sogok😅,2025-04-24 01:16:13,11,debat_tv_one,2025-04-21,6
user_14773,"wajib juga diadili di mahkamah internasional yg independen dan gak memihak, kalau perlu ada 5 negara yg memeriksa ijasahnya, seperti america, australia, jepang, italia, jerman, soalnya ini kelas presiden. bukan pedagang cilok, khawatirnya mirip sidang mk paman usman yg lolosin fafafufu jadi wapres plonga plongo.",2025-04-24 01:16:15,231,debat_tv_one,2025-04-21,6
user_30095,"rusuh... ruwet... gaduh... dengan satu keluarga... orang belum tentu bikin kegaduhan... diupayakan di tangkap... dipenjara,..tapi mereka sekeluarga bikin kegaduhan kegaduhan... entah lah apa salah negara ku",2025-04-24 01:17:48,44,debat_tv_one,2025-04-21,6
user_27564,"sdh dpt d simpulkan,ijazahnya palsuuuuuuuu...!!!",2025-04-24 01:24:31,38,debat_tv_one,2025-04-21,6
user_54523,sengaja utk dibawa ke pengadilan negeri konoha krn pengadilan di konoha bisa disetting hanya pengadilan akhirat yg adil,2025-04-24 01:25:11,30,debat_tv_one,2025-04-21,6
user_9082,"semua pejabat sdh tdk ada rasa malu, mrk saling berkongsi dlm kejahatan",2025-04-24 01:26:30,0,debat_tv_one,2025-04-21,6
user_6215,mereka yg tidak punya rasa berdosa bersalah malu.. berbuat zalim saling melindungi semua kejahatan nya tidak mereka melihat perkembangan negara kiri kanan nya yg mensejahterakan rakyatnya ambil saja jepang dulu di sebut termasuk negara penjajah begitu menerima bala kejahatan nya negara nya di bom atom hiroshima nagasaki saat itu juga meletakkan segala bentuk penjajahan dan berbenah diri menjaga perdamaian begitu juga china yang sama sama dihantam badai resesi ekonomi global mereka bangkit dan semua birokrasinya di reformasi total sementara negeri ini masih dalam kekacauan kegaduhan politik ekonomi hukum ham berat fitnah terjadi di mana mana pemimpin bersekutu dengan dengan koruptor.. bagaimana negara ini akan maju... dari dulu masih berlabel negara berkembang tidak pernah makmur...,2025-04-24 01:27:38,0,debat_tv_one,2025-04-21,6
user_22380,hanya orang b*d*h yg sibuk dg ijazah org lain..tanpa ada kaitan kerja dan partisipasi...,2025-04-24 01:28:13,1,debat_tv_one,2025-04-21,6
user_26250,"ke pengadilan ut pembuktian ijasah asli atw palsu supaya diuji oleh forensik, spy tdk buas, klw sy diminta ut mmperlihatkn ijasahku maka dgn segera sy perlihatkn,",2025-04-24 01:28:14,0,debat_tv_one,2025-04-21,6
user_36764,10 tahun menjabat kenapa harus sekarang?? lelucon apa lagi ini...dor aja tu kepala,2025-04-24 01:28:28,0,debat_tv_one,2025-04-21,6
user_12124,ini fakta mau pakai brp pengacara lagi buat menutupi kebohongan..😮,2025-04-24 01:30:48,37,debat_tv_one,2025-04-21,6
user_48278,"saya yakin inilah yang disebut konsekuensi (atau akibat) atas kejahatan dan kebohongan yang telah ia perbuat terhadap negara. ⚖ tindakannya merusak undang-undang (uu), mahkamah konstitusi (mk), dan memperlemah komisi pemberantasan korupsi (kpk), merusak hutan, mengusir penduduk asli (rempang) dan pik 2.. membuatnya tidak tenang hingga usia senja. 😥.. kini, masalah ijazah muncul, dan saya percaya hal-hal lain akan terus mengganggu hidupnya. 🙏 semoga beliau menyadari kesalahannya dan bertobat.",2025-04-24 01:32:26,352,debat_tv_one,2025-04-21,6
user_15610,konoha ini sudah di kuasai mafia oligarki dan mukntol jd jgn berharap apa2 kalian rakyat jelata bodoh. nikmati pilihan otakmu sdm rendah simpanse monyet 58%,2025-04-24 01:32:33,1,debat_tv_one,2025-04-21,6
user_20841,"foto di gorong-gorong, di pinggir kolam, di kap mobil ghoib, di tempat ibadah, dibikin meme, dikata-katain tidak apa-apa. tapi jangan coba-coba foto ijazah saya! saya akan lawan!",2025-04-24 01:33:19,0,debat_tv_one,2025-04-21,6
user_30257,"ijazah palsu , kelakuan palsu, ucapan palsu",2025-04-24 01:34:45,224,debat_tv_one,2025-04-21,6
user_19195,saya tidak begitu percaya lagi kepada hukum di indonesia dengan terkuaknya kasus kasus peradilan di indonesia termasuk hakim hakimnya,2025-04-24 01:36:34,1,debat_tv_one,2025-04-21,6
user_24865,"memang pengacara harus pintar bicara, modal ngotot modal ngancem"" yg penting di bayar banyak, pihak ugm gk hadir karna,,,,,,,,,,,,",2025-04-24 01:38:16,0,debat_tv_one,2025-04-21,6
user_54566,sangat simpel. tinggal tunjukkan ijazahnya aja. clear.,2025-04-24 01:38:38,19,debat_tv_one,2025-04-21,6
user_54863,wajib dibatalkan uang pensiun.... ini sbg resiko akibat perbuatan nya...,2025-04-24 01:40:42,0,debat_tv_one,2025-04-21,6
user_16967,bukan nya ada uu ke terbukaan publik sebagai pejabat publik wajib jujur kepada publik kalau publik menanyakan harus dijawab dengan jujur!!!😂😂😂😂😂,2025-04-24 01:42:58,0,debat_tv_one,2025-04-21,6
user_51067,klo dibuka didpn publik..yaaa pengacara tdk dibyr..😂😂😂😂,2025-04-24 01:43:52,1,debat_tv_one,2025-04-21,6
user_5884,"bukankah keruwetan negara ini karena juga ada peran mayoritas rakyat? jdi, keruwetan ini harus dijadikan pelajaran penting bagi rakyat juga. jangan juga menjadi rakyat yg suka cuci tangan. krn pemimpin lahir dari rakyat, mk inilah wajah kita sbg bangsa dan negara saat ini",2025-04-24 01:45:42,0,debat_tv_one,2025-04-21,6
user_13231,masalah ijazah masih dibahas kaya gak ada topik lain cih,2025-04-24 01:45:55,0,debat_tv_one,2025-04-21,6
user_24458,"walaupun ijasah itu ditetapkan palsu oleh hakim , tapi tidak akan banyak pengaruh buat mereka karena cinta juga pengaruh p joko",2025-04-24 01:48:05,0,debat_tv_one,2025-04-21,6
user_55821,kalau benar berita ini maka negara ini sangat menyedihkan. karena hampir 300 juta org dibodohi oleh para pemimpinnya,2025-04-24 01:51:22,7,debat_tv_one,2025-04-21,6
user_8911,💯 ijazah nya palsu...juara 1 dunia korupsi,2025-04-24 01:52:42,73,debat_tv_one,2025-04-21,6
user_8162,yang ngomong ngawur buktikan di persidangan jangan sampai ada jual beli ijazah ini momen memperbaiki kwalitas pendidikan.,2025-04-24 01:53:55,0,debat_tv_one,2025-04-21,6
user_21741,"kayaknya yang pas gini ""ijazahnya asli tapi tidak teregistrasi"" hahahhaaaaa",2025-04-24 01:55:51,0,debat_tv_one,2025-04-21,6
user_4625,kuasa hukum yg berbelit2 mencari pembenaran,2025-04-24 01:56:03,0,debat_tv_one,2025-04-21,6
user_2131,dari pada ribut2 dan gaduh pa jkw krena ini nanti kemudian hari ternyata palsu bahaya pa ini tanggung jawab besar dihadapan rakyat indonesia sampai manca negara maluu kita klu ketahuan dan ini juga menjadi catatan sejarah buat generasi muda sbgi pelanjut bangsa ini kedepan oke bro.,2025-04-24 01:56:46,0,debat_tv_one,2025-04-21,6
user_50338,preseden buruknya itu waktunya sidang malah kabur. ini bisa ditiru masyarakat.,2025-04-24 01:57:58,3,debat_tv_one,2025-04-21,6
user_6676,pengacara muda ... sudah doyan duit ... pembela duit ...,2025-04-24 01:58:29,0,debat_tv_one,2025-04-21,6
user_25484,"proses hukum adalah jalur yg bijak, penjara akan menjadi guru terbaik bagi yg salah, sth itu hapus dendam, mulai membangun indonesia.",2025-04-24 01:58:35,0,debat_tv_one,2025-04-21,6
user_23835,"memang secara hukum tidak ada kewajiban memperlihatkan ijazah. tapi secara moral, etika dan adab kenegaraan, sebagai mantan presiden, panutan dan tokoh nomor satu pemimpin negara, wajib untuk memperlihatkan ijazahnya dan mengakhiri keresahand an polemik ini. biarpun mereka berkata ini cuma segelintir, tapi segelintir pun tetap rakyat indonesia. ayolah pak",2025-04-24 01:59:40,211,debat_tv_one,2025-04-21,6
user_33356,"""semua ada prosedurnya"", lebih simpel ngubah peraturan mk dong",2025-04-24 02:00:34,0,debat_tv_one,2025-04-21,6
user_6676,masih muda pinter ngedalil mencari pembenaran ... ayo sebagai pengacara muda carilah kebenaran .. jangan cuma mencari duit ...,2025-04-24 02:00:39,0,debat_tv_one,2025-04-21,6
user_45317,ketara bngt yah org yg ngmng krn di bayar dan org yg ngmng tulus demi perubahan,2025-04-24 02:01:09,0,debat_tv_one,2025-04-21,6
user_51965,"kita dibuat gila semua, inilah akibat ga jujur, sudah selesaipun jabatan nya dibongkar kebenarannya, muka indonesia jadi......",2025-04-24 02:04:09,0,debat_tv_one,2025-04-21,6
user_13731,kasihan memang rakyat iq 78 slalu dibohongi dikhianati ditindas,2025-04-24 02:06:06,0,debat_tv_one,2025-04-21,6
user_34096,itu ijasah pesanan bang,2025-04-24 02:06:29,0,debat_tv_one,2025-04-21,6
user_35972,begitu memang kalau manpres konoha,2025-04-24 02:06:30,0,debat_tv_one,2025-04-21,6
user_52145,"orang ini selalu bikin ribut indonesia saja, nggak layak dijuluki sebagai bapak bangsa. dari dulu selalu berbohong. ingat dunia ini fana, kehidupan di akherat kekal. segeralah bertaubat para pembohong.",2025-04-24 02:07:48,0,debat_tv_one,2025-04-21,6
user_37436,"ntar akan malu sendiri kl di pengadilan sdh di buktikan asli, tp tolong kl udh asli jgn merembet ke hal lain dan pihak yg di kalahkan hrs legowo utk masuk ke bui😅😅😅",2025-04-24 02:07:55,0,debat_tv_one,2025-04-21,6
user_24446,sen kanan belok kiri. arti nya ga akan di bawa ke jalur hukum krn ga berani. sekarang aja kabur koq,2025-04-24 02:08:54,1,debat_tv_one,2025-04-21,6
user_7064,"kasus ijazah palsu ne sudh klir tapi kok di ribut2tin melulu. klu ada bukti laporkan dan klu gak terbukti lagi kebenaranx harus ada konsekwensix dlm hal ini tembak mati yg melaporkan, so bikin gaduh negri ini.",2025-04-24 02:09:14,0,debat_tv_one,2025-04-21,6
user_40280,saya sih yakin gak ada ijazah asli. makanya jadi ribet banget. semoga saat ini kedzoliman mereka tidak berlanjut lagi. turunkan azabmu ya allah untuk mereka yg dzolim termasuk para pembelanya...🤲,2025-04-24 02:09:40,0,debat_tv_one,2025-04-21,6
user_38713,semoga masalah yg membingungkan dan ada masyarakat pro n kotra bisa berakher damai dan jadi terang keaslianya / kepalsuanya..... semoga hakim netral dan berani jujur *hakimlah yg bisa memutuskan kejujuran bukan membingungkan*,2025-04-24 02:10:14,0,debat_tv_one,2025-04-21,6
user_10013,2029 kalo fufufafa mencalonkan diri check ijazahnya asli ato aspal begitu juga ketika debat presiden harus ada body checking didpn audiens menghindari kecurangan dalam menggunakan alat komunikasi yang disembunyikan,2025-04-24 02:10:39,0,debat_tv_one,2025-04-21,6
user_20915,udalah lupakan yg sudah berlalu skarang mari kita pikir masa depan bangsa ini,2025-04-24 02:13:58,0,debat_tv_one,2025-04-21,6
user_41035,orang kebal hukum bebas mau ngomong apapun.....⁉️,2025-04-24 02:14:21,0,debat_tv_one,2025-04-21,6
user_38839,"curiga dugaan saya nanti pas persidangan hakimnya di suap😂 atau orangnya mulyono😊 pk silfester sdg memframing soal gus nur dan bambang tri, penjelasan pk silfester ada di rakyat bersuara😂",2025-04-24 02:14:44,0,debat_tv_one,2025-04-21,6
user_50451,"alasan yg disampaikan pengacaranya anak otto hasibuan itu sangat bodoh, preseden buruk apa?? kalaulah bukan krn bukti2 kepalsuan ijazah palsu itu tak mungkin para pejuang kebenaran ini minta ditunjukkan ijazah aslinya. dungu",2025-04-24 02:15:34,0,debat_tv_one,2025-04-21,6
