author,text,published_at,like_count,source,weekly_period,cluster
user_30320,"first.. pliss jgn dianggap sudah berlalu, moral kejujuran harus tetep ditegakan... negara mw dikemanakan jika moral kejujuran saja diabaikan dianggap tidak penting..😢",2025-04-24 01:06:42,287,debat_tv_one,2025-04-21,4
user_51631,semoga segera ketahuan asli atau palsu ...,2025-04-24 01:08:46,8,debat_tv_one,2025-04-21,4
user_43613,rg❤ knp silv di undang nant pst emosi,2025-04-24 01:11:58,4,debat_tv_one,2025-04-21,4
user_46427,pengen di sebut pakar...😂,2025-04-24 01:15:52,0,debat_tv_one,2025-04-21,4
user_21122,kok gak ada wewenang gimn km udah pernah jd pemimpin kok pembohong,2025-04-24 01:18:28,0,debat_tv_one,2025-04-21,4
user_40808,bang karni jgn di undang lg si silfestre muak liat mukanya,2025-04-24 01:19:19,0,debat_tv_one,2025-04-21,4
user_2862,"bukan mengatur bosy jok,cuman mau liat ko,ya lapor kan aja kalo benar ,ini nm nya mengulur2, waktu",2025-04-24 01:21:08,0,debat_tv_one,2025-04-21,4
user_238,ngomong preseden buruk atau takut terbukti palsu.,2025-04-24 01:24:04,0,debat_tv_one,2025-04-21,4
user_50619,silfester lagi.. kyk gk ada yg bermutu aja manggil tu orang,2025-04-24 01:24:08,0,debat_tv_one,2025-04-21,4
user_34988,pak karni ilyas udah gk sabar nonton ilc lagi ilc the best ❤❤,2025-04-24 01:25:50,13,debat_tv_one,2025-04-21,4
user_28944,tontonan menghibur😂,2025-04-24 01:27:49,0,debat_tv_one,2025-04-21,4
user_49743,"silvester lagi,, kenapa di undang silvester tukang rusuh mental preman itu",2025-04-24 01:28:15,0,debat_tv_one,2025-04-21,4
user_45307,si silvester stalone ngapain di undang,2025-04-24 01:28:26,11,debat_tv_one,2025-04-21,4
user_2501,rakyat sudah tidak bisa d bodohi ...,2025-04-24 01:28:50,48,debat_tv_one,2025-04-21,4
user_43962,terimakasih bpejuang kebenaran..,2025-04-24 01:32:30,112,debat_tv_one,2025-04-21,4
user_46504,orang badoh jadi pemimpin....,2025-04-24 01:33:06,95,debat_tv_one,2025-04-21,4
user_14825,berbuatlah sesukamu kelak kau akan mati . dan akan kau pertanggung jawabkan di akhirat,2025-04-24 01:33:53,0,debat_tv_one,2025-04-21,4
user_54777,tdk bisa tidak tp harus terungkap kebenaranya..,2025-04-24 01:37:18,21,debat_tv_one,2025-04-21,4
user_46299,omongan nya aja semua palsu😂,2025-04-24 01:42:23,0,debat_tv_one,2025-04-21,4
user_19538,seorang. mantan...... yg banyak kontraversi,2025-04-24 01:44:21,0,debat_tv_one,2025-04-21,4
user_24790,maju terus pantang mundur,2025-04-24 01:45:02,17,debat_tv_one,2025-04-21,4
user_8162,yang nanya itu bikin masaalah tambah liat,2025-04-24 01:49:17,0,debat_tv_one,2025-04-21,4
user_387,"mantan koruptor kok malah bicara seperti ahli aza,😂😂😂",2025-04-24 01:54:03,0,debat_tv_one,2025-04-21,4
user_40496,ke sombongan itulah menjatuh kan dirimu itu filosopi manusia,2025-04-24 01:54:39,0,debat_tv_one,2025-04-21,4
user_38990,kapan bahas habeb palsu dong kar,2025-04-24 01:55:44,0,debat_tv_one,2025-04-21,4
user_40757,topik ini yg saya tunggu2 dibahas di ilc. mantappp,2025-04-24 01:57:40,304,debat_tv_one,2025-04-21,4
user_9842,apa jadinya kalau terbukti asli?,2025-04-24 01:58:06,0,debat_tv_one,2025-04-21,4
user_46774,qotalahumullah semooga allah ta'ala membinasakan pejabat jahat di negri ini . amiin,2025-04-24 01:59:25,0,debat_tv_one,2025-04-21,4
user_5487,"sekali berbohong seterusnya akan selalu berbohong sebelum nafasmu lepas dari tenggorakanmu ,sadarlah dan bertobatlah",2025-04-24 02:01:11,0,debat_tv_one,2025-04-21,4
user_9842,yang pada komen sudah disaring pendukung barisan sakit hati pret pret pret,2025-04-24 02:01:40,0,debat_tv_one,2025-04-21,4
user_53610,banyak kejanggalan = tidak sinkron menuru akal waras,2025-04-24 02:02:20,0,debat_tv_one,2025-04-21,4
user_56445,silvister ini ngomong apa..kosong tak ada logika dan bobotnya,2025-04-24 02:02:45,0,debat_tv_one,2025-04-21,4
user_52063,"penuh dg kepalsuan semua semasa berkuasa, yg tidak palsu hanya occrp 😂",2025-04-24 02:03:27,0,debat_tv_one,2025-04-21,4
user_5622,kebenaran akan menemukan jalannya sendiri,2025-04-24 02:04:25,0,debat_tv_one,2025-04-21,4
user_35972,susah karena diprotes dikira kami membanggakan 😅😅😅,2025-04-24 02:05:16,0,debat_tv_one,2025-04-21,4
user_3786,"yakub , dengarkan hati nuranimu. jangan smp hati nurani mati.",2025-04-24 02:05:37,0,debat_tv_one,2025-04-21,4
user_16589,yakinlah pada akhirnya kebenaran pasti akan menang,2025-04-24 02:07:35,643,debat_tv_one,2025-04-21,4
user_3741,panci² obral yg suka bawa² nama tuhan sama dengan teman nya yg minta di gantung di monas,2025-04-24 02:08:19,0,debat_tv_one,2025-04-21,4
user_54630,bergandengan tangan membangun rasa berani menyatakan kebenaran.,2025-04-24 02:08:25,0,debat_tv_one,2025-04-21,4
user_55835,ga usah jilat sana jilat sini. jadi pemuja berlebihan... klo memang benar gausah mbulet ruwet ita itu... tinggal keluarin aja udah selesai. kalo lu orang biasa buat apa juga masyarakat ingin tau. lah posisi anda seorang tokoh bangsa tapi tidak berintegritas sama sekali...,2025-04-24 02:10:18,0,debat_tv_one,2025-04-21,4
user_38008,"tolong tim ilc besok2 jangan panggil silvester, bikin malas nonton",2025-04-24 02:10:21,0,debat_tv_one,2025-04-21,4
user_31436,martabat apa martabak ... klu martabak berapa harganya ?,2025-04-24 02:10:30,0,debat_tv_one,2025-04-21,4
user_32637,susah obatnya kalo hobby nya tukang ngibull...😅😂😂😂,2025-04-24 02:11:36,0,debat_tv_one,2025-04-21,4
user_28645,ciri² orang munafik & penjilat adalah selalu membela personal bukan membela kebenaran walaupun perbuatannya salah tetap dicarikan alasan pembenaran karena takut kehilangan sesuatu. mereka takut untuk mengatakan bahwa yang benar itu benar dan yang salah itu salah !!,2025-04-24 02:11:48,0,debat_tv_one,2025-04-21,4
user_36914,"ini baru mantap di angkat di ilc,cuma sayang gak ada presiden akal sehat",2025-04-24 02:12:07,2,debat_tv_one,2025-04-21,4
user_49975,"peringatan jika rakyat pergi ketika penguasa pidato kita harus hati-hati barangkali mereka putus asa kalau rakyat bersembunyi dan berbisik-bisik ketika membicarakan masalahnya sendiri penguasa harus waspada dan belajar mendengar bila rakyat berani mengeluh itu artinya sudah gawat dan bila omongan penguasa tidak boleh dibantah kebenaran pasti terancam apabila usul ditolak tanpa ditimbang suara dibungkam kritik dilarang tanpa alasan dituduh subversif dan mengganggu keamanan maka hanya ada satu kata: lawan!. (wiji thukul, 1986)",2025-04-24 02:12:25,0,debat_tv_one,2025-04-21,4
user_41832,"kalau ini benar palsu, sgt di sayangkan,,,kemungkinan ada org terselubung utk melakukan hal ini.",2025-04-24 02:12:57,0,debat_tv_one,2025-04-21,4
user_22454,apakah kejujuran masih ada di negara ini? nanti juga di bolak balik lagi beritanya.,2025-04-24 02:13:26,0,debat_tv_one,2025-04-21,4
user_33205,wah kacaw sih lucu banget anjir negara ini😂,2025-04-24 02:15:09,0,debat_tv_one,2025-04-21,4
user_1194,cair cair. habis debat dapat transferan. itulah termul.,2025-04-24 02:16:04,0,debat_tv_one,2025-04-21,4
user_45129,nunjukin doang koq preseden buruk.. ga masuk akal,2025-04-24 02:16:18,0,debat_tv_one,2025-04-21,4
user_45129,kasih alasan yg cerdas dikit lah,2025-04-24 02:16:39,0,debat_tv_one,2025-04-21,4
user_14302,tunjukan aja gak rugi,2025-04-24 02:16:48,0,debat_tv_one,2025-04-21,4
user_54248,come on bung karni.... sipreman silfester sm azwan ini janganlah dikasih panggung lagi.... ga ada ilmunya... cr pendukung mulyono yg lebih pintar lah... biar berimbang... malah buat malu,2025-04-24 02:17:17,0,debat_tv_one,2025-04-21,4
user_54830,yang dimasalahkan hanya org yg tdk dipercaya (banyak berbohong),2025-04-24 02:18:18,0,debat_tv_one,2025-04-21,4
user_173,ilc oposisi..sefrekwensi dgn pemburu ijasah.,2025-04-24 02:18:20,0,debat_tv_one,2025-04-21,4
user_33169,"""hanya orang-orang idiot yng mempertahankan kesalahan"". (marcus tulius cicero)",2025-04-24 02:18:32,0,debat_tv_one,2025-04-21,4
user_43438,lama tak tayang,2025-04-24 02:18:38,0,debat_tv_one,2025-04-21,4
user_2703,itu kenapa di undang lagi silverter sang prajurit firaun yg sangat arogan... ketua merah putih tp hati dan pikirannya hitam... penjilat kekuasaan...,2025-04-24 02:18:46,0,debat_tv_one,2025-04-21,4
user_42125,ada sifelter yg lg pansos di duga gak pake akal sehat nya gak tahu kenyataan yg ada,2025-04-24 02:19:06,0,debat_tv_one,2025-04-21,4
user_55313,buzzer nya sampe bingung. mau belain si wiwi kek gimana lg. 😂. jadi ngmong apa aja asal bela kwkwkwkw. selawak ini emang. sukses modal belajar pinter ❌ sukses jadi bizzer ✅,2025-04-24 02:19:14,0,debat_tv_one,2025-04-21,4
user_42963,kemana aja nih ilc baru upload?,2025-04-24 02:19:24,2,debat_tv_one,2025-04-21,4
user_42149,tanda-tanda dekatnya hari kiamat adalah banyaknya kesaksian palsu 😊,2025-04-24 02:19:45,0,debat_tv_one,2025-04-21,4
user_34,apalagi hukuman rakyat buat hina dina mereka?,2025-04-24 02:20:08,0,debat_tv_one,2025-04-21,4
user_4440,suaranya hilang.apakah sabotase.,2025-04-24 02:20:15,0,debat_tv_one,2025-04-21,4
user_23596,ada media yg cari makan dr provokasi apa itu halal ya,2025-04-24 02:20:16,0,debat_tv_one,2025-04-21,4
user_16488,kelihatan kalau bohongnya.....kedokteran jadi kehutanan.........😳😳😳😳,2025-04-24 02:20:30,0,debat_tv_one,2025-04-21,4
user_38311,apakah bisa disimpulkan bhw memang palsu?,2025-04-24 02:20:48,0,debat_tv_one,2025-04-21,4
user_38093,semua kajian ilmiah pake ilmu bukan sakit hati lah ini lah😂😂😂😂😂,2025-04-24 02:21:00,0,debat_tv_one,2025-04-21,4
user_10100,silvester itu kenapa di undang lg cuma habis kn durasi aja dan buat rusuh kasi like❤ jika setuju jgn undang silvester dan andi andi azwan lg dan komentar terima kasih,2025-04-24 02:21:02,794,debat_tv_one,2025-04-21,4
user_3405,preman selalu bernarasi mengancam,2025-04-24 02:21:49,0,debat_tv_one,2025-04-21,4
user_52004,dinegara bohong kok tegakkan kebenaran,2025-04-24 02:21:51,0,debat_tv_one,2025-04-21,4
user_7686,jujur itu simple murah bohong itu rumit ruwet mahal.( pakai pengacara pula ) 😂😂😂 😂😂😂,2025-04-24 02:22:05,0,debat_tv_one,2025-04-21,4
user_49975,"kalo di uji, yg ujinya jujur ga bang ? kalo yg ujinya maling, rampok ya sama dengan bohong....",2025-04-24 02:22:08,0,debat_tv_one,2025-04-21,4
user_28515,preman ini di undang ke mna2,2025-04-24 02:22:18,0,debat_tv_one,2025-04-21,4
