author,text,published_at,like_count,source,weekly_period,cluster
user_15555,"warek 1 omon omon saja,jika punya bukti mengapa tidak ditunjukkan kepada roy surya,rismon sianipar,dan dokter tifa saat mereka bertemu pimpinan ugm.?",2025-04-24 01:10:48,12,debat_tv_one,2025-04-21,0
user_17702,"gak mungkin asli ,masa lulusan sekelas ugm plango-plongo 😂",2025-04-24 01:12:59,141,debat_tv_one,2025-04-21,0
user_14994,"permasalahkan ijasa atau skripsi bingung 😢 alumus ugm mantan menteri tak hafal lagu indonesia raya, 😂😂😂 koarnya lewat batas😂😂",2025-04-24 01:19:05,2,debat_tv_one,2025-04-21,0
user_12124,fix ugm takut dtg karena bohong..,2025-04-24 01:20:09,41,debat_tv_one,2025-04-21,0
user_24355,jelas to kalo ugm gak mau datang...,2025-04-24 01:22:27,0,debat_tv_one,2025-04-21,0
user_47979,dari pihak ugm gak akan hadir bang..takut bang....,2025-04-24 01:23:43,0,debat_tv_one,2025-04-21,0
user_37885,"ma,af ugm udah jadi penjilat morahan",2025-04-24 01:40:25,0,debat_tv_one,2025-04-21,0
user_47744,kalau menjabat pertanyaan om karni yang ada di judul apa jadinya kalau ijasah jokowi terbukti palsu ? jawabannya sederhana si periksa semua produk ugm sebab sedari awal ugm sdh kekeh bahwa produk yang di keluarkan ugm adalah asli dan bila perlu boikot seluruh alumus ugm untuk tidak masuk dalam jajaran pejabat publik karena ijasah yang mereka kantongi adalah palsu. masa iya satu bisa palsu kok yang lain tidak boleh di curigai juga padahal sumbetnya dari dapur yang sama 😂😂😂,2025-04-24 01:40:35,0,debat_tv_one,2025-04-21,0
user_53043,dari ugm gak berani.....haaa....haaa ..,2025-04-24 01:44:05,0,debat_tv_one,2025-04-21,0
user_53043,pelapornya mungkin gak sekolah juga...mungkin looo...😂😂😂😂,2025-04-24 01:46:20,0,debat_tv_one,2025-04-21,0
user_4234,bung suryo yang bisa meneliti guna bahan pembuktian itu hak penegak hukum berikut ijaza itu yang mengeluar kan ijaza adalah pihak ugm bukan anda kerna apa anda bukan dosen dekan apa lagi rektor sangat disayang kan kalau profesor anda hanya diguna kan untuk negara ini gadu yakin lah bung roy rakyat tidak akan tertipu dengan ocean anda,2025-04-24 01:46:26,0,debat_tv_one,2025-04-21,0
user_21142,"jokowi itu alumni ugm,( urip gandulan mertua)",2025-04-24 01:50:26,0,debat_tv_one,2025-04-21,0
user_24458,"ugm mengeluarkan ijasah waktu itu bukan hanya satu tapi ratusan , orang2 yang bareng wisuda juga banyak tinggal cocokin aja sama ga atau ada ganjalan atau aneh",2025-04-24 01:52:22,0,debat_tv_one,2025-04-21,0
user_52230,"lulusan ruko kok masih dipakai, buat dungu masyarakat aja.",2025-04-24 01:55:32,0,debat_tv_one,2025-04-21,0
user_8768,heleh panci....itu urusan ugm. yg penting ugm sdh memberikan ijasah. ..lo mau apa.....banyak kampus melakukan itu ....dan bkn ugm sj ..lo mau apa sih ..kalo ingin.jd presden. ciba. kamu tertibkan smua kesalahan.di i donesia ini ..panci sj lo maling. gimana mau bisa spt.itu. ....mmg kamu tkg nyinyir....dan saking bencimu sama jokowi sdh hitam. hatimu. tiap saat kamu jg hina jokowo hujat dll bersana amin rais dll ....apa ga ada kerjaan lain s3lain .ini.,2025-04-24 02:04:07,1,debat_tv_one,2025-04-21,0
user_185,kliatan pihak ugm tidak bersedia hadir. yg waras pasti ragu ragu keaslian nya,2025-04-24 02:06:07,0,debat_tv_one,2025-04-21,0
user_17800,alumni ruko nongol lagi😂,2025-04-24 02:06:30,0,debat_tv_one,2025-04-21,0
user_50458,"ugm sekarang jadi universitas odong2 gara2 kelakuan oknum2 pejabatnya utk melindungi jokowi, berbohong, berbohong. akademisi kok berbohong.",2025-04-24 02:08:14,0,debat_tv_one,2025-04-21,0
user_52145,"semakin nyakin ada kebohongan, ugm tidak bersedia hadir di ilc. kalau memang benar kenapa takut hadir haiii...ugm. jangan kau gadaikan kredibilitas ugm hanya untuk membela 1 orang ini.",2025-04-24 02:09:41,0,debat_tv_one,2025-04-21,0
user_17800,hrsnya rocy gerung undang dong biar beri kuliah ke alumni ruko,2025-04-24 02:09:56,0,debat_tv_one,2025-04-21,0
user_1892,"jejak digital jokowi ketika ditanya jurusan , dia bilang jurusannya ""teknologi kayu"" padahal jurusan itu tidak pernah ada di ugm",2025-04-24 02:09:58,11,debat_tv_one,2025-04-21,0
user_31756,kumpulan hti fpi yang pernah dibubari jokowi dan kumpulan para pembencinya banyak berkumpul disini?. kalo terbukti asli pun dicari kesalahan lain. dan itula karakter pembencinya,2025-04-24 02:10:17,0,debat_tv_one,2025-04-21,0
user_39380,hanya mahasiswa ugm yg bs mendesak rektorat untuk buka data sebenarnya tntg ijasah mulyono.. kapan lah liat mahasiswa mendemo rektorat.. 😂😂😂,2025-04-24 02:10:25,0,debat_tv_one,2025-04-21,0
