author,text,published_at,like_count,cluster
debat_tv_one_user_3,roy udah gila manggap mulutnya,2025-06-01T16:47:52Z,0,22
debat_tv_one_user_4,negara udah memikirkan kemajuan bangsa negara bangsa indonesia ngurusin ijasah ampun gak maju maju bangsa negara kasihan pemerintah udah memikirkan kemajuan bangsa negara bangsa nya memikirkan ngurusin ijasah mantan presiden beliau berjasa bangsa negara bandingkan gerombolan pemecah belah bangsa,2025-06-01T15:29:03Z,0,22
debat_tv_one_user_34,roy suryo udah gila bicara cumak muter muter,2025-05-31T00:31:08Z,0,22
debat_tv_one_user_50,udah jaman fitnah dajal muncul,2025-05-29T07:01:54Z,0,22
debat_tv_one_user_80,rakyat udah td percoyo pda omongan jkwi,2025-05-27T15:32:08Z,0,22
debat_tv_one_user_96,kasih info aja rakyat yg terhormat pengaguran remaja udah bernarkoba judi slot udah bnyak keluarga korban yg,2025-05-26T18:06:50Z,0,22
debat_tv_one_user_118,udah rs loe capek ngomong sm orang kaya sil r buang sm energi,2025-05-26T03:11:47Z,0,22
debat_tv_one_user_130,udah periode presiden skrg kau koar koar roy panci gak,2025-05-25T15:06:04Z,0,22
debat_tv_one_user_145,roy sortyo lihat mukanya aja udah muak johhhhhhhhhhhhhhhhhhhhhhhhhhhh peeeeeeeeeeeeeee,2025-05-25T03:19:33Z,0,22
debat_tv_one_user_204,minggu yx roy ngmng msih enak ngmngnya udah ciut emng raja onar bikin gaduh suruh nyanyi indonesia raya aja salah ko sok an pakar hmmm,2025-05-22T20:10:42Z,0,22
debat_tv_one_user_257,yg brantas narkobi roy udah polisi,2025-05-21T03:23:40Z,0,22
debat_tv_one_user_271,silvester udah ditantang mas roy ngeyel buktikan ijasah junjungan mu gak palsu vester jgn menuduh org membunuh karakterlah menyebar hoak buktikannnnn,2025-05-20T16:57:46Z,0,22
debat_tv_one_user_23,logikanya gini klo ijazah udah tunjukan,2025-05-20T11:04:22Z,1,22
debat_tv_one_user_332,silfester andi udah diketekin,2025-05-18T07:37:24Z,0,22
debat_tv_one_user_424,jokowi udah tua insyaflah jgn bohong bentar lg mati,2025-05-13T14:42:33Z,0,22
debat_tv_one_user_478,amin amin insaf udah tua kau stop memfitnah pk jokowi,2025-05-11T15:42:33Z,0,22
debat_tv_one_user_534,udah udah rakyat bro orang ga sirik,2025-05-10T08:13:10Z,0,22
debat_tv_one_user_628,terbukti palsu bumerang jokowi nama udah jelek dampak politik parah,2025-05-08T12:10:33Z,0,22
debat_tv_one_user_642,kalo ketahuan palsu berabe tuh udah gitu aja deh,2025-05-08T11:49:40Z,0,22
debat_tv_one_user_1102,emng dasarnya benci sm jokowi udah aja,2025-05-07T13:38:29Z,0,22
debat_tv_one_user_1146,heran klo emang beliau ga gaduh sgala knapa ga tunjukin aja kpentingan y gaduhn bertele tujuanya sih ga perlihat kn aja brtele kadang pas beliau nama negara afrika aja udah bikin indonesia malu tok de tok hadeh,2025-05-06T17:10:42Z,0,22
debat_tv_one_user_1151,ternak ternak jokowi emang urat malunya udah putus,2025-05-06T16:41:18Z,0,22
debat_tv_one_user_1157,jokowi walikota gebernur jkt presiden kl ijasahnya palsu udah ketahuan mendaftar pilkada kl masuk tni polri pns dicek dokumen yg bersangkutan,2025-05-06T16:04:21Z,0,22
debat_tv_one_user_1217,udahlah manusia silver mempelihatkan kegoblokan mu kasian keluargamu rakyatnya udah pinter menilai,2025-05-05T19:46:24Z,0,22
debat_tv_one_user_1250,roy suryo coba tanye pdip gimana proses seleksi walikota gubernur presiden legalisir ijasah logika aja ijasahnya tau agenda agenda memecah adu domba jokowi prabowo angkat ijasah antek penghianat bangsa bayar menteri udah korupsi dii bongkar,2025-05-05T13:56:24Z,0,22
debat_tv_one_user_1305,analogi berpikir nya udah sakit ga kapasitas mengakui kebenaran,2025-05-04T17:39:09Z,0,22
debat_tv_one_user_1330,sih menurutku kalo orang salah nama fakultas aja udah langsung dibilang petunjuk maha kuasa apasih orang keceplosan salah aja udah lebay diartikan aneh aneh,2025-05-04T12:21:41Z,0,22
debat_tv_one_user_1352,kalo mulyono hukum konstitusi hukumnya kerabat konstitusi udah dibeli angel iki note nol kosong otaknya,2025-05-04T06:46:09Z,1,22
debat_tv_one_user_1365,pdip bersuara yg rekrut jokowi udah verifikasi blum,2025-05-04T03:15:32Z,0,22
debat_tv_one_user_1457,gausah pake liatin ijazah komunikasi udah keliatan mantan presidan orang berpendidikan wkwk,2025-05-03T07:33:28Z,2,22
debat_tv_one_user_1472,sbnernya simple jokowi tinggal tunjukin aja ijazahnya pejabat udah clear tp laporkan ranah hukum tandanya yg disembunyikan,2025-05-03T04:05:17Z,1,22
debat_tv_one_user_1485,udah hafal lirik indonesia raya kak suryo,2025-05-03T01:40:22Z,0,22
debat_tv_one_user_1511,mas roy² aja berbohong darisegi perbicaraan aja udah ketauhan brg yg berbohong menyangkal org habis berbicara,2025-05-02T20:18:02Z,0,22
debat_tv_one_user_1601,kalok kalok udah fitnah ya mending tunjukan jalur hukum ngapain tunjukin suryo mending masukin sel aja suryo,2025-05-02T08:59:19Z,0,22
debat_tv_one_user_1711,udah puluhan taon jokowi pemerintahan yg menverifikasi dokumen x org hebat npa nti skrg permasalahkan mencari kesalahan beliau aq aj udah lupa judul skripsi nama dosen penguji dosen pembimbing bpk yg udah puluhan taon udah yg dilupa,2025-05-01T14:49:21Z,0,22
debat_tv_one_user_1754,bacot klo emang berani gak jalur hukum klo udah bukti ijazah palsu dll ugm aj mengakui lulusannya,2025-05-01T11:05:44Z,0,22
debat_tv_one_user_1784,pa aspal dipitnah kepengadilan aja biar selesai udah enek gw luh lagie luh lagie bikin gaduh,2025-05-01T05:39:33Z,0,22
debat_tv_one_user_1788,roy suryo egi sudjana amien rais dr tifa antek nya emangnyaa klo tukang kayu presideen sibuk ijazah dipermasalahkan keki iri udah sekolah s s presiden tukang kayu presiden udah skenario tuhan allah angkat derajat tukang kayu amalan nyaa amalannya apaa gimana berkah hidupnya suka menyebar kebencian bikin kegaduhan jokowi hapuskan namanya presiden sejarah jokowi gak rugiii merasakan presiden keliling dunia bertemu presiden negara menikmati fasilitas presiden membangun jalan tol yg menikmati,2025-05-01T05:20:37Z,1,22
