author,text,published_at,like_count,cluster
debat_tv_one_user_182,masyarakat yg setuju dg roy panci buktikan pengadilan roybgak waras senang nuduh fitnah tunggu masuk penjara roy yg setuju roy panci,2025-05-24T02:38:02Z,0,19
debat_tv_one_user_199,yg setuju roy dkk masuk penjara,2025-05-23T02:45:07Z,0,19
debat_tv_one_user_212,setuju ijazah jokowi asli acung,2025-05-22T15:22:40Z,0,19
debat_tv_one_user_574,tdk setuju mas roy cs ijasa jokowi palsu,2025-05-09T13:37:44Z,0,19
debat_tv_one_user_1135,karyawan yg sales syaratannya bawa ijazah asli setuju silahkan komentar,2025-05-07T00:16:26Z,2,19
debat_tv_one_user_1141,setuju band roy,2025-05-06T18:04:16Z,0,19
debat_tv_one_user_1141,setuju roy suryo,2025-05-06T18:02:59Z,0,19
debat_tv_one_user_1211,setuju undang jokowi merapat,2025-05-05T22:23:01Z,0,19
debat_tv_one_user_1401,setuju korupsi kejar,2025-05-03T16:38:14Z,0,19
debat_tv_one_user_1412,lapor mentang polisi diketik jokowi setuju ijazah jokovi palsu,2025-05-03T15:36:45Z,1,19
debat_tv_one_user_1464,setuju tangkap pengacau nkri gak jasa negarah,2025-05-03T06:31:04Z,0,19
debat_tv_one_user_1655,setuju tdk hk mengatur,2025-05-01T23:05:29Z,0,19
debat_tv_one_user_1676,setuju banget dr roy suryo,2025-05-01T17:50:29Z,1,19
debat_tv_one_user_2001,pakar politik setuju bravo,2025-04-30T07:17:18Z,1,19
debat_tv_one_user_2021,setuju panda nababan kondisi bangsa memprihatinkan,2025-04-30T03:52:33Z,0,19
debat_tv_one_user_2190,setuju dg bang panda dibiarkan indonesia hancur,2025-04-29T09:00:50Z,1,19
debat_tv_one_user_2271,setuju panda pikiran buruknya andai ijazahnya asli sengaja diperpanjang kasusnya menyadari,2025-04-28T22:50:59Z,0,19
debat_tv_one_user_2753,setuju kali contohnya ikn amburadul,2025-04-27T16:24:34Z,0,19
debat_tv_one_user_2747,setuju bpk tim merah putih,2025-04-27T16:08:42Z,0,19
debat_tv_one_user_2890,anak bangsa setuju tutup fitnah brantas korupsi akar akarnya setuju,2025-04-27T13:49:11Z,0,19
debat_tv_one_user_2883,rakyat setuju bongkar maju biar salah tentukan pengadilan awas aparat hukum kena angin solo,2025-04-27T13:31:22Z,0,19
debat_tv_one_user_3070,bagus pk amin setuju berhenti ijaza jokowi tau asli palsu,2025-04-27T08:37:16Z,0,19
debat_tv_one_user_3220,setuju bang roy menjaga marwah ugm kebenaran dibuktikan terbuka muntuk uji kwalitas ugm universitas kebanggan indonesia,2025-04-27T04:40:12Z,8,19
debat_tv_one_user_3512,setuju roy,2025-04-26T18:27:38Z,0,19
debat_tv_one_user_3619,sy setuju dgn mas roy,2025-04-26T16:39:00Z,1,19
debat_tv_one_user_3627,politik politik ya besok kerja cari uang setuju jokowi hak setuju masyarakat undang undang tuntutan tuntut jokowi berkewajiban menampilkan ijazah hak roy kepakarannya jejak digital pernyataannya blunder emang bukti kepakarannya ujung ujungnya mbulet hak roy berhak berhak kepentingan politik,2025-04-26T16:34:24Z,0,19
debat_tv_one_user_3724,setuju jokowi kasih tau kepublik ijasahnya palsu biar terbuka bazer bazer jokowi lanjutkan suryo,2025-04-26T15:26:04Z,0,19
debat_tv_one_user_3746,setuju roy panci dipenjara like,2025-04-26T15:14:00Z,4,19
debat_tv_one_user_2834,roy suryo cs adili rakyat setuju,2025-04-26T08:48:18Z,530,19
debat_tv_one_user_4430,andalan jokowi setuju like,2025-04-26T06:00:32Z,0,19
debat_tv_one_user_4842,setuju dgn pendapat bang panda nababan hukum yg akuntabel netral berani menyelesaikan,2025-04-26T00:19:03Z,0,19
debat_tv_one_user_5304,setuju banget kholid kasih bintang ketimbang stafsus botak buzzer,2025-04-25T16:00:24Z,0,19
debat_tv_one_user_5703,setuju jokowi laporkan org ranah hukum,2025-04-25T13:22:56Z,0,19
debat_tv_one_user_5801,setuju roy suryo laporkan polisi terbuka metodologi yg dipakai biar turun pakar telematika negri gas roy bongkar sampe akar,2025-04-25T12:43:01Z,0,19
debat_tv_one_user_5974,setuju penjelasan selamet ginting oke,2025-04-25T11:06:23Z,1,19
debat_tv_one_user_6056,setuju panda nababan aparat berwenang udah muka tembok ga folow up sampe tuntas mengambang polemik,2025-04-25T10:10:44Z,1,19
debat_tv_one_user_6122,hahah sombong dengen pdnya menudu palsu ijazah orang loh setuju usut tuntas,2025-04-25T09:17:27Z,0,19
debat_tv_one_user_6447,setuju intinya menghancurkan karakter orang contohnya roy panci,2025-04-25T06:30:12Z,0,19
debat_tv_one_user_6283,lbh setuju argumen roy suryo drpd si bodo silverster stallone,2025-04-25T05:31:56Z,0,19
debat_tv_one_user_6283,tdk setuju dgn silvester stalone remeh temeh ijazah jkl biang² mnj korupsi massive,2025-04-25T05:25:43Z,0,19
debat_tv_one_user_6706,setuju roy suryo,2025-04-25T04:15:09Z,0,19
debat_tv_one_user_7018,setuju pendapat bang panda bang karni campur permainan politik remeh temeh,2025-04-25T01:21:15Z,0,19
debat_tv_one_user_7057,setuju,2025-04-25T01:01:43Z,0,19
debat_tv_one_user_7134,kebanyakan komentar setuju ijazahnya indikasi beres masyarakat waras berfikir logis,2025-04-25T00:19:21Z,0,19
debat_tv_one_user_7224,silpester setuju gak tuh kalo keluarga jokowi usut harta kekayaannya,2025-04-24T23:29:56Z,0,19
debat_tv_one_user_7969,masuk akal lulusan s roy suryo masuk akal setuju,2025-04-24T16:54:36Z,0,19
debat_tv_one_user_7981,setuju panda nababan degradasi moral parah,2025-04-24T16:52:07Z,0,19
debat_tv_one_user_8051,silvesster enak an klo terbukti palsu setuju roy suryo phlawan kesiangan plin plan kutu loncat,2025-04-24T16:35:57Z,0,19
debat_tv_one_user_8067,kalo negarawan amerika ssya setuju negara donal bebek,2025-04-24T16:33:05Z,0,19
debat_tv_one_user_8104,rakyat setuju dgn mad roy jgn terpengaruh dgn konco jokowi hoak mad roy jgn mundur,2025-04-24T16:17:15Z,0,19
debat_tv_one_user_8264,masyarakat yg setuju hasil riset roy suryo rismon dr tifa kasih jempol,2025-04-24T15:56:27Z,0,19
debat_tv_one_user_8279,kholid pejuang vip prototipe bang panda nababan setuju,2025-04-24T15:53:44Z,0,19
debat_tv_one_user_8590,suka banget respon mas roy setuju bagus tetep maju bosku,2025-04-24T14:57:09Z,0,19
debat_tv_one_user_8541,setuju penjarakan pemfitnah roy suryo dkk,2025-04-24T14:54:59Z,0,19
debat_tv_one_user_8652,setuju trilyun palsu,2025-04-24T14:46:52Z,0,19
debat_tv_one_user_20,setuju banget bpk selamat ginting,2025-04-24T14:45:35Z,0,19
debat_tv_one_user_9236,yg setuju roy panci cs masuk bui angkat jempolnya,2025-04-24T13:09:44Z,0,19
debat_tv_one_user_9496,yg sy setuju anak turunan sy lawyer yg sperti,2025-04-24T12:20:28Z,0,19
debat_tv_one_user_9552,setuju selamat ginting ngomong yg lurus keberpihakan,2025-04-24T12:10:33Z,0,19
debat_tv_one_user_9733,tdk setuju dgn pa silfester byk tdk didiamkan ijazahnya asli silahkan ragu palsu malunya adaoo,2025-04-24T11:42:24Z,0,19
debat_tv_one_user_9859,setuju penjelasan selamat ginting,2025-04-24T11:21:03Z,0,19
debat_tv_one_user_9915,setuju pa ginting salah yg tdk kritik orang gila pa dgn pa roy perjuangan kebenarannya,2025-04-24T11:09:12Z,0,19
debat_tv_one_user_9984,setuju dukung mas roy mantap,2025-04-24T10:53:07Z,0,19
debat_tv_one_user_10202,ijazah joko widodo palsu terbukti ilmiah yg setuju klik jempol,2025-04-24T10:06:57Z,83,19
