author,text,published_at,like_count,cluster
user_105,kor kau amin rais,2025-05-26T15:45:38Z,0,16
user_130,udah periode presiden skrg kau koar koar roy panci gak,2025-05-25T15:06:04Z,0,16
user_189,orang awam simple nya gak kau rooy basi,2025-05-23T17:13:14Z,0,16
user_23,tolong jok tunjukn ijazah mu kebohongan yg kau kau kebohongan jok tobat jok jijik liat kao,2025-05-21T21:37:17Z,0,16
user_23,tunjukan jok kau pembuat gaduh negara,2025-05-20T23:41:04Z,0,16
user_23,jok tunjukan ijazah mu kau gaduh negri,2025-05-20T23:40:18Z,0,16
user_23,tunjukan jok jgn gaduh indonesia kau,2025-05-20T23:39:50Z,0,16
user_478,amin amin insaf udah tua kau stop memfitnah pk jokowi,2025-05-11T15:42:33Z,0,16
user_503,nasihat panda karni bagus kau ambil,2025-05-10T17:46:56Z,0,16
user_510,silfester brp duit kau dibayar klo kau smpkan insitusi resmi insitusi resmi orang nya jokowi,2025-05-10T16:33:00Z,0,16
user_1265,bang karny kau tidal netral kau nampak kali berpihah,2025-05-05T08:41:15Z,0,16
user_1265,roy suryo kau takabur bro,2025-05-05T07:43:33Z,0,16
user_335,jgn dok hebat kau kau dibayar jokowi penghianat kau muak mukamu penjilat yg omong kosong manfsstmu dinegara gk bro,2025-05-04T06:34:56Z,1,16
user_1453,muak kau,2025-05-03T07:45:16Z,0,16
user_1534,roy suryo bikin muakk nyanyi indonesia raya aja salah kau royy royy ngaku pakar pulak,2025-05-02T17:19:46Z,0,16
user_1630,kau plintir kalo kau hukum jgn bawa kemana,2025-05-02T02:40:18Z,0,16
user_1696,tai kau suryo,2025-05-01T15:50:04Z,0,16
user_1773,tunjukan aja klw penipu kau ijazah aslimu,2025-05-01T07:40:47Z,0,16
user_1811,roy panci cs dikarungi masuk jebakan batman masuk kandang kau,2025-05-01T02:02:29Z,1,16
user_1919,kakek panda isu sentral kau pung triliyun cash diumpetin berita autentik sebutkan muaranya muaranya kejujuran integritas integritas yg kau angkanya minim integritas rusak kau pensiun aja pung ngga kau beritakan berita kejahatan spektakuler apapun heboh apapun ngga react masyarakat,2025-04-30T14:53:44Z,0,16
user_2084,kau yg nama roi tdk pake negara,2025-04-29T16:32:14Z,0,16
user_2185,yg bahaya kau,2025-04-29T09:18:31Z,1,16
