author,text,published_at,like_count,cluster
user_16,parah roy suryo tangkap aja,2025-05-31T19:58:27Z,0,1
user_23,bravo roy suryo dkk kebenaran menang,2025-05-31T09:00:47Z,1,1
user_25,roy roy sok,2025-05-31T08:11:56Z,0,1
user_28,penjelasan roy suryo objektif sistematis terukur gmn,2025-05-31T03:55:25Z,0,1
user_34,roy suryo udah gila bicara cumak muter muter,2025-05-31T00:31:08Z,0,1
user_23,maju roy suryo dkk,2025-05-29T15:54:41Z,0,1
user_23,maju roy suryo dkk,2025-05-29T15:54:26Z,0,1
user_23,maju roy suryo dkk,2025-05-29T15:54:11Z,0,1
user_23,maju roy suryi dkk,2025-05-29T15:53:55Z,0,1
user_23,bravo roy suryo dkk,2025-05-29T15:53:40Z,0,1
user_23,bravo roy suryo dkk,2025-05-29T15:53:25Z,0,1
user_23,bravo roy suryo dkk,2025-05-29T15:52:55Z,0,1
user_44,roy suryo lalat kepala ngomong ngomong waras yg edan,2025-05-29T15:20:47Z,0,1
user_50,roy cs udh jd pengikut dajjal,2025-05-29T07:02:31Z,0,1
user_59,roy u gila,2025-05-28T16:48:03Z,0,1
user_63,maju bang roy u membuktikan kebenaran tantangan,2025-05-28T15:17:58Z,1,1
user_23,bravo roy suryo rismon dkk,2025-05-28T03:20:25Z,0,1
user_80,mas roy ahlinya,2025-05-27T15:26:00Z,0,1
user_83,roy suryo kawan sebentar nangis jeruji besi,2025-05-27T14:19:45Z,0,1
user_85,roy suryo benci dg jokowi ya,2025-05-27T10:24:30Z,0,1
user_90,fufufafa anak nya roy,2025-05-27T03:05:22Z,0,1
user_23,maju roy suryo dkk,2025-05-27T02:52:06Z,1,1
user_123,percaya roy suryo cs,2025-05-25T18:46:58Z,0,1
user_124,bahaya nih roy suryo pembohong bahaya pki,2025-05-25T18:37:09Z,1,1
user_23,bravo roy suryo dkk,2025-05-25T14:00:15Z,0,1
user_140,maju trus roy,2025-05-25T12:24:33Z,1,1
user_23,bravo roy suryo dkk,2025-05-25T09:17:17Z,0,1
user_23,bravo roy suryo dkk,2025-05-24T23:09:10Z,0,1
user_23,bravo roy suryo dkk,2025-05-24T18:07:35Z,1,1
user_157,sylvester asbun roy suryo ahli aiti tau asli palsu,2025-05-24T17:25:15Z,0,1
user_162,roy suryo dokter tifa simon pahlawan bangsa,2025-05-24T15:38:55Z,0,1
user_166,roy suryo pingin nya bnar,2025-05-24T15:16:50Z,0,1
user_172,masuk bui bang roy,2025-05-24T11:25:39Z,0,1
user_180,orang gila yg percaya roy suryo dkk,2025-05-24T04:47:21Z,0,1
user_183,hei roy suryo bikin malu agama islam aja pake bilang insyaallah ajar parah roy suryo masuk penjara,2025-05-23T23:21:04Z,0,1
user_183,roy suryo liat dipersidangan insyaallah dipenjara roy suryo masyarakat indonesia kebenaran kebenaran berpihak ok roy suryo,2025-05-23T22:39:52Z,0,1
user_186,muak dgn pernyataan ocehan roy suryo,2025-05-23T20:10:25Z,0,1
user_199,yg setuju roy dkk masuk penjara,2025-05-23T02:45:07Z,0,1
