author,text,published_at,like_count,cluster
debat_tv_one_user_57,klo kewajiban hukum negara mewajibkan menunjukan ijasdhnya paksa,2025-05-28T18:13:10Z,0,17
debat_tv_one_user_142,berdiri negara hukum hukum yg mn silvester dungu,2025-05-25T08:06:54Z,0,17
debat_tv_one_user_156,yakop tdk masuk hukum bagus jd komedian sj pintar ngeles,2025-05-24T18:13:33Z,0,17
debat_tv_one_user_196,sungguh licik si roy pandai memfitna jokowi penjarakan hukum seberat beratnya nya eksekusi,2025-05-23T06:54:05Z,0,17
debat_tv_one_user_267,kuasa hukum jokowi serang emang parselnya gdeeee,2025-05-20T17:42:07Z,0,17
debat_tv_one_user_300,sdh diklafikasi yg menerbitkan clear asli tinggal buktikan dibawa ranah hukum,2025-05-19T13:29:19Z,0,17
debat_tv_one_user_305,salahnya seandainya ijazah jokowi publik berdebat tempuh yg sulit yg mudah emangnya melanggar hukum ijazah,2025-05-19T08:17:31Z,0,17
debat_tv_one_user_23,si mukidi kyk nya kebal hukum ya,2025-05-16T07:28:52Z,0,17
debat_tv_one_user_365,hukum manipulasi rakyat berhak pemimipin yg yakub pengacara bayaran,2025-05-15T23:15:48Z,0,17
debat_tv_one_user_378,pasuran hadirr jokowi pembohong berlagak kebal hukum rakyat tunjukan ijaza nya biar beres orang,2025-05-15T14:26:30Z,0,17
debat_tv_one_user_436,ijasah skripsi dokumen yg publikasi ga ketakutan menunjukan ijasah pake hukum bikin ribet wkwkwk,2025-05-13T04:28:42Z,5,17
debat_tv_one_user_484,obama kelahirannya keritik obama menunjukan akte nya yg menfatakan melanggar hukum bodoh,2025-05-11T14:11:16Z,1,17
debat_tv_one_user_494,negara konoha dibeli hukum dibeli ijazah org berduit kuasa,2025-05-11T03:20:14Z,1,17
debat_tv_one_user_508,negara hukum pantatmu rana hukum ditunjukan ijazah asli jokowi,2025-05-10T16:26:08Z,0,17
debat_tv_one_user_546,berantas korupsi berantas narkoba hadeh yg main elit nya menurutku hukum negara percaya sepenuhnya negara hukum slogan kaum elit rakyat,2025-05-10T01:48:42Z,0,17
debat_tv_one_user_595,bner negara hukum hukum konoha ga lu ber uang lu pejabat lu orang lu berkuasa hukum konoha otak atik keputusan ikrah hukum daerah terdzolimi lahan oknum pejabat udah ikrah ma perduli beroperasi dilahan udah ikrah ma oknum pejabat dpr nya mewakili rakyat memanfaatkan jabatan mendzolimi rakyat oknum ketua dpr daerah lu pejabat lu beruang lu orang lu berkuasa real hoak salam waras,2025-05-09T01:36:09Z,1,17
debat_tv_one_user_662,ranah hukum bro sah sah aja bicara apapun palsu kek asli kek pengadilan merasakan situasi negara gaduh hukum hubungan akibat moralitas bangsa dasar kegaduhan inii remeh temeh serius berhubungan jati bangsa hancur lebur bermartabat beradab negara pastinya pemimpinnya,2025-05-08T10:59:49Z,0,17
debat_tv_one_user_984,kuwasa hukum bisah caya bilang aslih menunjukan aslih,2025-05-08T08:52:44Z,0,17
debat_tv_one_user_1164,penjilat membela tuan kanoha berdalil hukum,2025-05-06T13:42:06Z,0,17
debat_tv_one_user_1185,kewenangan izajahnya mknya lewati jalur hukum sja,2025-05-06T07:44:13Z,0,17
debat_tv_one_user_1300,pembelaan presiden buruk mata hukum argumen kabur substansial bro pernyataan absurd transparansi kepala negara bukti supremasi hukum berjalan buruk publik transparansi kepala negara membuktikan elegan menurunkan wibawa negara menaikkan integritas demokrasi logika ijazah merusak hukum bilang lapor polisi penipuan merusak kehormatan pelaku lucu banget bro hukum gak takut kebenaran kecurigaan publik masif solusinya buka data buka drama prosedur hukum lho negara demokrasi bro kerajaan oke prosedur hukumnya konteks public accountability rakyat jabatan publik bicara presiden republik indonesia warga sipil uud pasal f menjamin hak warga memperoleh informasi informasi pejabat publik pengacaranya relawan doang lihat ijazahnya rakyat disuruh diam ngaco logika demokrasinya privacy legitimasi publik kejadian selesai sengaja mengulur jokowi warga tau didalam sejarah dunia nama jokowi terpampang presiden republik indonesia warga negara memperbaiki sejarah,2025-05-04T19:12:36Z,0,17
debat_tv_one_user_1300,warga negara kecewa pembelaan pengacara jokowi ijazah merusak wibawa hukum logika sesat menyesatkan transparansi mencoreng institusi hukum memperkuat integritas demokrasi ijazah sah tunjukkan publik menjadikan segelintir relawan pengacara saksi tunggal keabsahan dokumen negara republik kerajaan tertutup rakyat keaslian ijazah presiden bukti drama intimidasi retorika hukum hukum prosedur keberanian menghadapi kebenaran terbuka perlakukan rakyat menjatuhkan menjaga martabat bangsa kebohongan sistemik,2025-05-04T19:08:02Z,0,17
debat_tv_one_user_1232,hukum bermain penguasa dahhh yg dibawah cuman penonton doang handal memainkan hukum dibikin mlongo dg keputusan hukum negara,2025-05-04T12:07:18Z,0,17
debat_tv_one_user_1402,kalo hasil penelitian yg ditampil dr roy dr rismon minimal percaya hukum indonesia dipermainkan percaya yg memainkan orang ternama tau bobroknya hukum negri aib,2025-05-03T16:34:21Z,1,17
debat_tv_one_user_1415,yth ilc ķondisi politik memaksa prabowo tdak berbuat bnyak krna prabowo brada dlm bayang tekanan politik luhut cs jokowi geng solo nya aparat hukum tni polri dlm kendali luhut jokowi the geng perkara hukum apapun yg berseberangan dgn jokowi kalah telak jdi geng solo slalu mengarahkn org yg berseberangan dgn mreka meja hukum dgn slogan palsu mreka kt negara hukum,2025-05-03T14:59:59Z,2,17
debat_tv_one_user_1487,ijazah nya palsu orang hukum negara hukum,2025-05-03T01:22:36Z,1,17
debat_tv_one_user_1499,negara hukum hukum milih milih,2025-05-02T23:29:50Z,1,17
debat_tv_one_user_1506,ijazahnya percaya hati mata kuping dibutakan kebencian dibawa kejalur hukum,2025-05-02T21:16:54Z,0,17
debat_tv_one_user_1524,hukum tumpul tajam kebawah percaya hukum,2025-05-02T18:13:13Z,1,17
debat_tv_one_user_1529,indonesia negara hukum taiiikkk hukum berlaku gk adil dibeli taiiikkkk,2025-05-02T17:38:14Z,1,17
debat_tv_one_user_1630,kau plintir kalo kau hukum jgn bawa kemana,2025-05-02T02:40:18Z,0,17
debat_tv_one_user_1659,dikit bawa negara hukum masyarakat percaya hukum indonesia karna yg keliru coba nitizen sebutkan yg keliru jesika lg,2025-05-01T20:51:17Z,1,17
debat_tv_one_user_1675,instistusi yg percaya silfester gila nya serahkan institusi hukum institusi nya susah percaya hukum yg pengaruhi kekuasaan tdk keadilan,2025-05-01T17:52:53Z,1,17
debat_tv_one_user_1685,lihat endingnya yg masuk bui karna masuk ranah hukum,2025-05-01T16:54:40Z,0,17
debat_tv_one_user_1716,usul penyebar vitnah hukum gantung gimana,2025-05-01T14:36:19Z,0,17
debat_tv_one_user_1744,alhamdulillah masuk ranah hukum selamat roy suryo cs utk menghuni hotel predeo,2025-05-01T12:28:30Z,0,17
debat_tv_one_user_1776,kuasa hukum dibayar ijazah palsu takut banget tau bobroknya,2025-05-01T07:09:09Z,0,17
debat_tv_one_user_1803,gak aja bg panda negri konoha kalo yg lapor orang biarin aja tuh laporan jookowi yg lapor langsung ditrima wajah penegak hukum negri konoha,2025-05-01T03:08:42Z,0,17
