author,text,published_at,like_count,cluster
debat_tv_one_user_4,negara udah memikirkan kemajuan bangsa negara bangsa indonesia ngurusin ijasah ampun gak maju maju bangsa negara kasihan pemerintah udah memikirkan kemajuan bangsa negara bangsa nya memikirkan ngurusin ijasah mantan presiden beliau berjasa bangsa negara bandingkan gerombolan pemecah belah bangsa,2025-06-01T15:29:03Z,0,4
debat_tv_one_user_25,roy roy sok,2025-05-31T08:11:56Z,0,4
debat_tv_one_user_61,amien gaca pembohong sok suci jilat ludah sdri bilang jalan kaki solo tepati,2025-05-28T16:17:13Z,0,4
debat_tv_one_user_162,roy suryo dokter tifa simon pahlawan bangsa,2025-05-24T15:38:55Z,0,4
debat_tv_one_user_183,suryo austria maju bikin bangsa indonesia mundur bikin malu bangsa tar nangis maaf jokowi parah roy suryo omong kosong penjarakan secepatnya,2025-05-23T23:13:42Z,0,4
debat_tv_one_user_222,kayak gak kerjaan menganiaya org langsung jiwa ank bangsa indonesia,2025-05-22T06:28:01Z,0,4
debat_tv_one_user_23,si joko pembuat gaduh indonesia cepat tindak buang buang energi bangsa,2025-05-20T23:39:10Z,0,4
debat_tv_one_user_262,roy suryo karanya alumni ugm menjelekan ugm sj menelanjangi sok pintar pakar telem atika,2025-05-20T21:11:49Z,0,4
debat_tv_one_user_262,roy cs kl ijazah jokowi palsu tdk jokowi memimpin bangsa d negara menghina jokowi sj menghina bangsa dab negara republik indonesia periksa sj ijasah warga negara indonesia,2025-05-20T20:49:44Z,0,4
debat_tv_one_user_333,keliatan pas kuliah ngeselin roy suryo orgnya perfeksionis netral pantau tontonan anak bangsa serang bunuh pas ud kacau tampung lahan murah,2025-05-18T06:09:14Z,0,4
debat_tv_one_user_479,berbicara orangnya sok power banget ya salah rakyat menuntut diakhirat lohh kerusakan negara,2025-05-11T15:33:35Z,1,4
debat_tv_one_user_539,amin rais merusak bangsa indonesia jokowi dah tua bau tanah,2025-05-10T07:30:09Z,0,4
debat_tv_one_user_555,amin rais pengianat bangsa,2025-05-09T19:45:48Z,0,4
debat_tv_one_user_558,orang struk bibir nya tuh yg lawan roy lucu sok intelek,2025-05-09T17:31:11Z,0,4
debat_tv_one_user_662,ranah hukum bro sah sah aja bicara apapun palsu kek asli kek pengadilan merasakan situasi negara gaduh hukum hubungan akibat moralitas bangsa dasar kegaduhan inii remeh temeh serius berhubungan jati bangsa hancur lebur bermartabat beradab negara pastinya pemimpinnya,2025-05-08T10:59:49Z,0,4
debat_tv_one_user_1032,biarin deh fokus bangun bangsa bareng bareng,2025-05-08T08:17:32Z,0,4
debat_tv_one_user_1033,gue sih integritas visinya bangsa buktikan aja karya nyata bro,2025-05-08T08:17:25Z,0,4
debat_tv_one_user_23,plis adili mulyono nusa bangsa,2025-05-07T18:11:50Z,0,4
debat_tv_one_user_1086,ditv one ngomong emangnya gua pikirin kuman bikin borok bangsa indonesia,2025-05-07T16:31:45Z,0,4
debat_tv_one_user_1120,sok berkuasa loo klw pitnh tunjukan yg aslinyaa,2025-05-07T07:21:38Z,0,4
debat_tv_one_user_1134,rakyat bangsa percaya pembuktian roy suryo rismon dkk,2025-05-07T00:17:28Z,0,4
debat_tv_one_user_1205,soy suryo pemecah belah bangsa,2025-05-06T02:13:13Z,0,4
debat_tv_one_user_1233,menghancurkan karakter bangsa ngeriii,2025-05-05T16:39:18Z,0,4
debat_tv_one_user_1250,roy suryo coba tanye pdip gimana proses seleksi walikota gubernur presiden legalisir ijasah logika aja ijasahnya tau agenda agenda memecah adu domba jokowi prabowo angkat ijasah antek penghianat bangsa bayar menteri udah korupsi dii bongkar,2025-05-05T13:56:24Z,0,4
debat_tv_one_user_1367,mmimpin negara periode rakyat indonesia bnar slama mmpin negara ijazah palsu susahnya nunjukin ijazah muka biar anak bangsa tdak slalu bersenggolan d medsos,2025-05-04T01:57:08Z,2,4
debat_tv_one_user_1518,intinya contoh bangsa yg suka mempermalukan bangsa sdri kepuasan pribadi golongan maju makmur angan,2025-05-02T19:05:31Z,0,4
debat_tv_one_user_1543,isu gk mutu asli gk ijazah jokowi dampaknya bangsa indonesia menjabat urus bangsa kedepannya,2025-05-02T16:23:59Z,0,4
debat_tv_one_user_1633,klo voting komentar mendukung roy suryo dkk pejuang bangsa era lanjutkan pejuang,2025-05-02T02:13:34Z,50,4
debat_tv_one_user_1660,selfester sok sok bijak ujung nya ngancem wkwkwk,2025-05-01T20:35:54Z,1,4
debat_tv_one_user_1664,orang cengar cenger trus dn sok tau,2025-05-01T19:03:41Z,0,4
debat_tv_one_user_1687,ribet mulyono kasih liat ijasah ampun dahh pemecah bangsa mah,2025-05-01T16:37:41Z,1,4
debat_tv_one_user_1760,semoga kebenaran negara indonesia bangsa yg bohong munafik cepat musnah masuk neraka jahanam salam hormat roy suryo kawan kawan berjuang kebenaran bangsa indonesia,2025-05-01T09:35:26Z,1,4
debat_tv_one_user_1806,pengacaranya jokowi malu ni sok pengacara senior,2025-05-01T02:06:37Z,0,4
debat_tv_one_user_1873,polemik politik diindonesia mendidik bangsa kearah yg,2025-04-30T17:00:50Z,0,4
debat_tv_one_user_1933,aib terbesar bangsa dipimpin ijazah palsu bukti hancur nya dunia pendidikan indonesia,2025-04-30T14:17:24Z,1,4
debat_tv_one_user_1968,roy suryo rismon dr tifa inggin almamater ugm kampus kebanggaan anak bangsa dimana anak bangsa sanggat kuliah tdk anak bangsa kuliah ugm persaingan senggit jokowi isu lemparkan anak bangsa tinggal lihatkan aja ijazahnya publik ngak berlarut larut orang bohong berupaya menutupi kebohongannya orang jujur orang dg bukti autentik,2025-04-30T11:55:33Z,0,4
debat_tv_one_user_2003,kumpulan manusia sok suci busuk hati,2025-04-30T07:15:04Z,0,4
debat_tv_one_user_2010,roy suryo anis bacot kosong kerja nya utk negara bangsa,2025-04-30T05:18:36Z,0,4
debat_tv_one_user_2049,roy surya grombolannya agenda bayaran orang kasih media membahayakan persatuan bangsa semoga jokowi kasian,2025-04-29T20:59:13Z,0,4
debat_tv_one_user_2089,silferter ngomong sampean muter mulut mu sok yesss,2025-04-29T16:08:17Z,1,4
debat_tv_one_user_2138,ijazah palsu mengerikan kondiai bangsa rapuh mudah dibohongi,2025-04-29T14:33:37Z,1,4
debat_tv_one_user_2234,mulyono fufufafa simbol kemunduran bangsa,2025-04-29T04:23:37Z,2,4
debat_tv_one_user_2255,bangsa suka nyrongot kaya nggak kerjaan aja busyet dah sukanya nyakitin hati bangsanya penegak hukum awasi seksama provokator dalangnya,2025-04-29T01:22:00Z,0,4
debat_tv_one_user_2303,amin rais kali pilih presiden medapat nilai nol ahirnya maksud fan tujuan amin ngomel yg adaanfaat nya bangsa negara,2025-04-28T18:59:07Z,0,4
debat_tv_one_user_2327,maju teruuus pantang mundur babat geceek sampe modtaaar perusak penipu bangsa,2025-04-28T17:01:38Z,1,4
