author,text,published_at,like_count,cluster
debat_tv_one_user_58,sylvester ingatkan jokowi tunjukin aja ijazah asli nya kasian rakyat gadu gara² ijazah bpk tdk kasih mlihat publik,2025-05-28T16:53:59Z,0,3
debat_tv_one_user_85,insya allah bpk jokowi sehat,2025-05-27T10:26:59Z,0,3
debat_tv_one_user_138,jngn melawan orng bpk jokowi orng dilindungi tuhan rakyat indonesia cinta jokowi,2025-05-25T13:13:45Z,0,3
debat_tv_one_user_448,bpk skrg jd rakyat,2025-05-12T15:21:59Z,0,3
debat_tv_one_user_1408,sikat pemfitnah bpk jokowi biar tau,2025-05-03T16:03:13Z,0,3
debat_tv_one_user_1599,biarlah hujat semoga bpk jokowi lindungan allah swt,2025-05-02T09:31:17Z,0,3
debat_tv_one_user_1806,terpaksa tunjukan aslinya bpk mah udah darurat indonesia jokowi perna jabat presiden,2025-05-01T02:54:21Z,0,3
debat_tv_one_user_1863,knpa sih jokowi udh presiden ko aja segitu hebatnya jokowi y keren emang bpk jokowi,2025-04-30T17:35:53Z,0,3
debat_tv_one_user_1889,ayo persiden perintah adili jarkowi persidan palsu duakali mengkhianati bpk prabowo pendukung bpk prabowo subianto thn masuk relawan rekan rt rw jakarta barat menyah jarkowi persidan palsu oke pesan rekan relawan seper group tks,2025-04-30T16:14:16Z,0,3
debat_tv_one_user_2132,org nya cerdas bpk roy suryo,2025-04-29T14:48:50Z,1,3
debat_tv_one_user_2259,yg masuk logika roy suryo ijazah spt bpk knapa kyk sakral skli andai suruh ambil sopir ngambil,2025-04-29T00:47:28Z,0,3
debat_tv_one_user_2610,bpk nababan dibikin teater alhamdullilah pikiranku yg salah kupikir dibikin jd tm,2025-04-27T22:57:02Z,0,3
debat_tv_one_user_2747,setuju bpk tim merah putih,2025-04-27T16:08:42Z,0,3
debat_tv_one_user_2961,hadu gadu berkepanjangan sala nya si bpk dpt menunjukan izasa biar gak korban,2025-04-27T11:41:32Z,0,3
debat_tv_one_user_3056,sehat bpk jokowi,2025-04-27T08:48:27Z,0,3
debat_tv_one_user_3188,silfester matutina ketum solidaritas merah putih si roy suryo penjarakan karna bukti yg berwenang ijaza jokowi ijaza jokowi palsu si roy gaduh masarakat sy bpk ketum solidaritas merah putih bpk yg singkat padat argumen bpk si roy suryo gelagapan maju,2025-04-27T05:22:24Z,0,3
debat_tv_one_user_3191,bangga lulusan ugm knp ijazah disimpan keliarin jokowi klu bpk asli lulusan ugm,2025-04-27T05:19:21Z,0,3
debat_tv_one_user_3194,bodo yg koar ijazah bpk jokowi palsu rumah bpk jokowi cek langsung ijazahnya jgn ijazahnya tunjukkan publik bahaya tkt oknum yg memanfaatkan nilai mata pelajaran kuliyah dijiplak ijazah palsu dijual belikan yg bpk yg berbaju batik oke salam damai nkri,2025-04-27T05:18:41Z,0,3
debat_tv_one_user_3482,hhhhhhh acara ya ijazah orang urgensinya setau sy bpk jokowi mahasiswa ugm fakultas kehutanan klarifikasi ugm mengakui jokowi mahasiswa n alumnus jokowi lulus n alumni ugm ijazahnya asli utk bahas sy orang si roy tdk didengar percaya omongannya tdk manfaatnya sy berharap bpk jokowi jgn sabar aja mengambil sikap yg tuntut orang orang yg nebar fitnah hoax n pencemaran nama bikin gaduh n tdk contoh yg anak bangsa,2025-04-26T18:49:05Z,0,3
debat_tv_one_user_3558,mantap bg roy suryo juta bela bpk dn kawan kawan,2025-04-26T17:12:27Z,0,3
debat_tv_one_user_3595,mantap penjelasan bpk selamat ginting,2025-04-26T16:55:58Z,0,3
debat_tv_one_user_3648,ya allah ya qharim ssh sih d selesaikn mslh ijazah pk jokowi bpk jokowi yg trhormat bpk dgn ijazahx d mn hati nur ani bpk ayolah jngn meresahkn masyarakat pk ikhlaskanlh ijazah bpk tuk d perlihatkn k publik masyarakat indonesia prcaya bhw bpk px ijazah salsahkh klu masyarakat indonesia tau dn mlihat ijazah bpk nda rugi kn bpk klu bs tau dn mlihatx,2025-04-26T16:17:00Z,0,3
debat_tv_one_user_3773,satunya orang yg menjabat kepala menkominfo bpk roy suryo,2025-04-26T15:03:00Z,0,3
debat_tv_one_user_3887,kali bpk yg rambut kunig in tigal ambil tunjukan udh gampag pk,2025-04-26T13:58:17Z,0,3
debat_tv_one_user_3998,roy suryo udah gitu ngomong nya tp paham ya bpk tu,2025-04-26T12:42:54Z,0,3
debat_tv_one_user_4119,hai bpk bpk dunguh gadu rakyat indonesia jokowi ijazah palsu,2025-04-26T11:04:31Z,0,3
debat_tv_one_user_2834,ayoooo pembela presiden presiden terbaik presiden berhati mulya dukung langkah hukum bpk jokowi semangat pembela kebenaran lelah utk membela kebenaran bang silfester narasumber yg dafat percaya,2025-04-26T09:12:24Z,0,3
debat_tv_one_user_4265,bpk merakyat menjabat,2025-04-26T08:31:02Z,0,3
debat_tv_one_user_4663,he ndak hukum acak jokowi bpk ber sifat ajg,2025-04-26T03:03:43Z,0,3
debat_tv_one_user_4949,bijak bpk urusin korupsi bikin hoak,2025-04-25T21:04:10Z,0,3
debat_tv_one_user_5325,sehebat kalo bekas presiden bangsa indonesia yg gak setar sma presiden yg memanggil bpk jokowi nama nya udah membuktikan gk bermoral gk beradab gk berahlak,2025-04-25T15:48:30Z,0,3
debat_tv_one_user_5645,bpk ginting klaw simak pembicaraan nya berkuasa hukum mainkan menghukum kalah salah owet kalah uwit,2025-04-25T13:48:15Z,0,3
debat_tv_one_user_5993,bpk debat ngotot sejalan roy suryo fakta yg kejar karna terangkat yg uji,2025-04-25T10:49:36Z,0,3
debat_tv_one_user_6239,silvester mengatas namakan anak bansa anak bangsa yg yg bpk nya pejabat penjilat,2025-04-25T08:01:15Z,2,3
debat_tv_one_user_6344,kn terhentinya polemik kegaduhan kn bpk tunjukan pinter dikit napa sih pk jok,2025-04-25T07:08:02Z,0,3
debat_tv_one_user_6775,mengusung bpk jokowi wali kota presiden pdip lantas serang bpk jokowi personal pdip bukti keabsahan ijazah bpk jokowi,2025-04-25T03:40:32Z,0,3
debat_tv_one_user_7214,pendukung jokowi kali milih jokowi pemilu milih prabowo gibran timbul curiga jokowi menghindar tuduhan ijazah palsu beliau takut menghadapi hinaan bahar smit rijik sihab egi sujana roy surya gerombolan gelandangan politik beliau ijazahnya palsu hayo bpk jokowi takut bpk penipu terang kecewa sikap bpk jokowi yg pengecut takut menghindar tunjukkan ijazahmu dipengadilan terbukti asli tuntut penjarakan memfitnah menghina,2025-04-24T23:35:41Z,0,3
debat_tv_one_user_7221,yg ijazah bpk jokowi asli,2025-04-24T23:31:02Z,0,3
debat_tv_one_user_7252,yg bpk ustad adi hidayat louncing gerakan indonesia menanam gerina roy suryo bikin gerakan,2025-04-24T23:11:57Z,0,3
debat_tv_one_user_7261,bicara bpk selamat ginting mantaaaap suka,2025-04-24T23:07:31Z,4,3
debat_tv_one_user_7987,terimakasih bpk selamat ginting pencerahannya,2025-04-24T16:51:05Z,2,3
debat_tv_one_user_8191,mhn dgn beribu hormat kpd bpk jokowi dgn legowo bijaksana ijasahnya agr rakyat tdk resah gempar,2025-04-24T16:10:11Z,0,3
debat_tv_one_user_8199,p andi ui institusi bpk kali bahlil,2025-04-24T16:09:13Z,0,3
debat_tv_one_user_8270,periode bpk jokowi memegang kepemimpinan negeri knapa digugat ketidak suka mrasa sakit hati kekalahan dlm pemilu yg gibran wapres,2025-04-24T15:55:02Z,3,3
