author,text,published_at,like_count,cluster
debat_tv_one_user_257,yg brantas narkobi roy udah polisi,2025-05-21T03:23:40Z,0,12
debat_tv_one_user_1469,bang roy suryo jemput polisi,2025-05-03T04:38:10Z,0,12
debat_tv_one_user_1586,polisi pangil roy,2025-05-02T12:48:56Z,0,12
debat_tv_one_user_1902,napsu sur ntr klau panggil polisi struk,2025-04-30T15:37:00Z,0,12
debat_tv_one_user_2031,mantap dilaporkan polisi terang benderang maju roy suryo dkk,2025-04-30T02:13:46Z,4,12
debat_tv_one_user_2170,lapor polisi sisselfer bodohh polri ri herdernya mulyono,2025-04-29T11:18:55Z,2,12
debat_tv_one_user_2353,skrg polisi cmn merazia surat mutor g berani merazia ijazah yg palsu,2025-04-28T15:20:21Z,0,12
debat_tv_one_user_2468,bagus mulyono melaporkan orang tsb polisi uji porensik yg tim porensik polisi pengacaranya msh muda wajar sombong dikitlah jamterbangnya,2025-04-28T08:32:56Z,0,12
debat_tv_one_user_2727,p jokowi main² sm rakyat indonesia klo mrasa trfitnah buktikan pengadilan melapor penggugat hrus bawa bukti ijazah aslinya polisi,2025-04-27T16:55:56Z,0,12
debat_tv_one_user_3667,kalo polisi sim stnk kasih bilang gugatan pelaporan,2025-04-26T16:04:13Z,0,12
debat_tv_one_user_3725,berdasar analisis foto dokumen diedarkan orang medsos melaporkan polisi ditindaklanjuti kepolisian penalaran hukumnya,2025-04-26T15:24:40Z,0,12
debat_tv_one_user_3857,stnk polisi,2025-04-26T14:10:15Z,0,12
debat_tv_one_user_3911,silver bilang isu ijazah palsu bilang hoak tetapkan polisi hakim isu ijazah hoax sy ucapan yg menyerang roy suryo utk pembuktian palsu asli ya dilaporkan polisi disidangkan pengadilan nnti jgn intimidasi dgn bambang tri,2025-04-26T13:39:48Z,0,12
debat_tv_one_user_4139,opa panda polisi berbuat ap perkara sungguh memperihatinkan bangsa,2025-04-26T10:39:21Z,0,12
debat_tv_one_user_4702,kebenaran hakim jaksa polisi bayar tdk korup,2025-04-26T02:39:25Z,0,12
debat_tv_one_user_5060,bahasa tunggu kepolisian hati pro jokowi mainkan polisi hakim theater,2025-04-25T18:26:51Z,3,12
debat_tv_one_user_5215,besok klo motor bawa foto copy stnk sim klo polisi percaya aslinya suruh buktikan jokowi mengajarkan,2025-04-25T16:41:17Z,1,12
debat_tv_one_user_5437,ntat pas dipanggil polisi si roy sukro pura sakit pincang,2025-04-25T15:12:46Z,0,12
debat_tv_one_user_5599,polisi hakim jaksa engak menghukum mulyono kerna udah makan amlopnya mulyono,2025-04-25T14:06:56Z,0,12
debat_tv_one_user_5694,polisi yg bergerak menggeledah rumah jokowi menyita ijazah jokowi,2025-04-25T13:25:46Z,1,12
