author,text,published_at,like_count,cluster
debat_tv_one_user_5,kesini nonton si badut ternak mulyono,2025-06-01T14:32:12Z,0,15
debat_tv_one_user_23,si mulyono adili nya,2025-05-31T09:00:09Z,1,15
debat_tv_one_user_23,rakyat persen ijazah si mulyono palsu,2025-05-31T08:59:25Z,1,15
debat_tv_one_user_53,ugm pengecut ga kali undang tau bersalah ugm universitas gank mulyono,2025-05-29T02:30:42Z,0,15
debat_tv_one_user_164,masy ijazah mulyono palsu,2025-05-24T15:28:42Z,0,15
debat_tv_one_user_295,gmana kasusnya tuntas kapolri nya aja anak buah mulyono,2025-05-19T16:00:28Z,0,15
debat_tv_one_user_23,ternak mulyono permukaan,2025-05-18T21:55:10Z,0,15
debat_tv_one_user_315,ternak mulyono,2025-05-18T21:16:18Z,0,15
debat_tv_one_user_23,mulyono raja pembohong sedunia,2025-05-15T08:07:57Z,0,15
debat_tv_one_user_419,ugm universitas geng mulyono,2025-05-13T19:27:30Z,0,15
debat_tv_one_user_473,mulyono mulyono,2025-05-11T16:14:43Z,0,15
debat_tv_one_user_479,ngga kalo tunjukin ijazah yaa tunjukin aja kalo lurus dna jujur ngga cingcong mulyono,2025-05-11T15:36:04Z,1,15
debat_tv_one_user_527,disogok brapa antek antek mulyono,2025-05-10T12:05:57Z,0,15
debat_tv_one_user_547,duuuh heran gw pembela mulyono ane kocak lu,2025-05-10T01:28:36Z,0,15
debat_tv_one_user_23,ternak mulyono tolong kasi panggung orang pn enek liatnya akal,2025-05-08T12:19:29Z,0,15
debat_tv_one_user_23,plis adili mulyono nusa bangsa,2025-05-07T18:11:50Z,0,15
debat_tv_one_user_23,sepele hey plester tunjukan ijazah nya mulyono rakyat sepele tinggal tunjukan dasar pembohong,2025-05-06T12:35:02Z,0,15
debat_tv_one_user_1285,silfester bayar ya mulyono,2025-05-05T03:04:08Z,1,15
debat_tv_one_user_1321,seandainya pdip gk mengorbitkan mulyono pastikan negara damai sejahtera aman sentosa,2025-05-04T15:17:07Z,1,15
debat_tv_one_user_1357,fufu fafa aja dibongkar roy suryo ketua projo budi ari mentri kominfo bilang umumkan fufufafa asli sampe skr kagak bs menangkal kl fufufafa gibran udh deh gk kebohongan yg sempurna emang dr mulyono kel pembohong yg dr mulut mulyono kebohongan kebohongan mulyono dikantong sy ribu triliun duitnya dikantong sy ktnya sampe skr wujud duit nya siluman kebohongan mulyono sdh unit mbl esemka pesan oktober launching sampe skr hantu yg pake mbl esemka jejak digital nyata tinggal tonton ucapan mulyono yg bohong dr sekian byk kebohongan mulyono,2025-05-04T05:36:11Z,0,15
