author,text,published_at,like_count
user_35793,"Dia Sudah pensiun 
Dia sudah Capek 10 tahun sampai berkerut Wajah susah Tidur memikirkan Negara ini 
Pensiun Pun masih Juga kalian Ganggu !!!
Harus nya di hukum berat Ini",2025-05-06T00:34:44Z,7
user_23391,"lebih suka tempo daripada kompas, gak mutu",2025-05-06T00:31:10Z,0
user_24731,ALHAMDULILLAH .....,2025-05-06T00:29:56Z,0
user_176,Kebanyakan akting... nya,2025-05-06T00:27:33Z,0
user_53802,"Kelakuan anda sendiri yang membuat anda jadi terhina jokodok.

Hidup kok bohong melulu 😂",2025-05-06T00:27:20Z,0
user_176,Bapak tinggal tunjukan saja ijazahnya... Krn bapak itu pernah jadi presiden. Bapak aja yg aneh dan bulet2.. Pengennya jadi pemberitaan.. Udah tua pak..,2025-05-06T00:26:49Z,0
user_54768,Congore Roy Suryo seperti silit ayam,2025-05-06T00:23:40Z,0
user_54768,"Betul pk jebloskan semua yg telah menghina biar tidak ada lg orang yg suka menghina orang lain , buat pembelajaran ke semua agar tidak asal kasih kritik",2025-05-06T00:22:54Z,0
user_35476,hukum mati atau seumur hidup,2025-05-06T00:19:33Z,0
user_33082,"Anda sudah merusak dasar bernegara, dan pondasi bernegara... luar biasa kerusakan yg anda timbulkan selama 10 tahun ini... belum lagi kebohongan2 yg anda ucapkan...",2025-05-06T00:15:37Z,1
user_49286,Bapak kebiasaan bohong sih jadinya orang terus nyari2 bukti. Semoga kali ini ga bohong ya pak. Gawat klo ternyata negara dipimpin penjahat,2025-05-06T00:15:34Z,2
user_35666,barisan sakit hati itu,2025-05-06T00:09:10Z,0
user_2423,Aku gak sabar ❤❤ manusia manusia berhati dengki  seperti tifa RS cepat cepat ....,2025-05-06T00:07:04Z,0
user_40169,"Sekarang sudah mulai jelas, Dan yang lempar tangan sembunyi kaki mulai gelagapan 😀😃😄",2025-05-05T23:58:31Z,0
user_7665,"Pak Roy Suryo, kalau mau meneliti maka buatlah sesuatu penwlitian yang bermanfaat buat seluruh masyarakat Indonesia, bukannya meneliti ijazah orang yang akhirnya buat kegaduhan...nanti2 semua ijazah pejabat malah jadi penelitian anda...penelitian anda ini boro2 bermanfaat, malah memecah belah..",2025-05-05T23:45:49Z,0
user_3168,Ayooo kita nonton di pengadilan seru nihhh,2025-05-05T23:45:38Z,0
user_55778,se indonesia dukung Roy Suryo,2025-05-05T23:45:14Z,0
user_24026,Bisa menangkah roy surya cs dengan penelitiannya .....semoga ya walaupun berat melawan mantan presiden 2 periode....,2025-05-05T23:44:02Z,0
user_42627,jadi intinya kalo main hukum itu jangan ada aspek menghina,2025-05-05T23:41:55Z,0
user_34668,Membohongi rakyat sebohong bohongnya apa gak menghina rakyat?,2025-05-05T23:41:00Z,0
user_31609,Biar mampus penipu hrs di jebloskan kepenjara,2025-05-05T23:40:05Z,0
user_29554,"Lanjutkan pak, bila perlu semua yg nyinyir tentang ijazah bapak dipenjarakan semua biar pad kapok,benar bangat ijazah bapak bukan objek penelitian.",2025-05-05T23:33:58Z,0
user_52791,Aku dukung kamu wi tpi klu kamu benar wi. Tpi klu kmu salah kmu sendiri yg nanggung akibatnya,2025-05-05T23:28:49Z,0
user_39903,Sikat sekalian si panci ini biar ngak bikin gaduh terus,2025-05-05T23:25:15Z,0
user_40480,kamu sudah menghutang sebesar besarnya,2025-05-05T23:20:17Z,2
user_40497,Roy Suryo dkk itu NPD mereka tidak punya  empati dan etika. Mereka itu bengis seperti psikopat yang tidak merasa bersalah atas perbuatanya. orang2 seperti ini 20 tahun penjara juga tidak cukup. Harus di hukum mati dan disiksa secara pedih sebelum mati. Itu hukuman yg tepat untuk begundal begundal bangsa ini.,2025-05-05T23:18:00Z,0
user_39172,"Semoga ijazahnya ditunjukkan, biar kelihatan kepalsuannya",2025-05-05T23:13:11Z,0
user_48201,"Sebener nya simple keluarin ijazah asli nya, sudah beres
Ini ribet banget, berarti ya kagak ada
Lagian mana ada jurusan teknologi kayu 😂😂",2025-05-05T23:12:19Z,0
user_42563,"Klau saya selalu di ganggu seperti itu,pasti akan saya tonjok mulut nya,yg sering menghina saya.",2025-05-05T23:11:08Z,0
user_3114,Sehat2 ya Pakde ❤,2025-05-05T23:10:24Z,1
user_42989,Ngapain ngerasa terhina kalo emg pernah study di UGM ya tinggal tunjukin aja gasi?? Org tua kok pada ribet amat ya,2025-05-05T23:04:26Z,1
user_35933,"kalo asli ijazahnya, kenapa skripsinya ga ada lembar pengesahan. itu aja udah menjelaskan",2025-05-05T23:03:29Z,0
user_42423,"semoga jadi kenyataan Dia menjadi Sehini-hinanya, seperti dia merusak Indonesia serusak rusaknya (menurut saya)",2025-05-05T23:03:02Z,0
user_45541,"Klo mau ksi liat ijazah di muka publik donk ngapain ke pengadilan😂😂😂
Konfrensi pers undang wartawan dan para ahli buat membuktikan keaslian ijazah anda.
Jadi laki2 harus gentlemen",2025-05-05T22:55:47Z,1
user_42,Tinggal tunjukin tulul. Auah. Bapak ini kadang2,2025-05-05T22:49:39Z,0
user_53,"ya tunjukkim ke publik kalau benar asli, playing victim terus",2025-05-05T22:49:30Z,0
user_48361,anda mantan presiden wajib tunjukkan ijazah SMA dan S1 didepan publik. Masa DRS jadi IR,2025-05-05T22:49:10Z,0
user_55499,"Makanya Pak tunjukkan saja IJAZAH ASLINYA biar semua clear, tidak membuat gaduh berkepanjangan 🔥🔥🔥",2025-05-05T22:48:51Z,3
user_48361,tunjukkan kalo gamau dihina,2025-05-05T22:47:43Z,0
user_5078,Kira kira roy suryo mau bikin gaduh apalagi ya,2025-05-05T22:45:43Z,0
user_56036,negara lagi berjuang si RS CS bikin gaduh muluk. .,2025-05-05T22:42:18Z,0
user_16077,"Bapa bukan hina tapi kalau liat dari ijasah yg ada foto bapa memang tdk sesuai, kalau bapa rasa dihina tunjukan sj ijasahnya kan selesai.... Begitu sj kok repot",2025-05-05T22:34:02Z,1
user_54033,😂😂😂😂😂😂😂😂😂,2025-05-05T22:30:15Z,0
user_3107,Ga ada yg hina bapak pak tp bapak sendiri yg hina bapa sendiri karna akibat bapak selalu berbohong tp mah sempet cengengesan,2025-05-05T22:26:04Z,2
user_25135,Kalo ini saya setuju pa Dhe,2025-05-05T22:24:58Z,0
user_32597,"tingal tunjukukin beres di bikin ribet...,,,korupto hukum mati beres..hakim yg bisa di sogok jangan di hukum...😂😂😂😂 indo emang lucu",2025-05-05T22:20:38Z,0
user_46170,"Assalaamu'alaikum WW 
Subhanallah ... Maha Suci Allah  Yang Maha Suci 
Kita semua rakyat Indonesia mohon kesejukan dalam menyampaikan suatu pernyataan ...  ini mohon kejujuran yang terikat hukum negara jadi bukan penghinaan terhadap anak bangsa.",2025-05-05T22:17:11Z,0
