author,text,published_at,like_count
user_6588,Asli kok kata teman sekelasnya...,2025-05-30T09:53:31Z,1
user_8432,"Masuk akal. Ini contoh orang yg gentle menggunakam ilmunya, dan jujur menilai secara objektif. Tak menilai krn siapa, tapi menilai karena apanya. Mantap Prof.Mahfud👍saya sangat kagum sm ketenangannya 🙏🙏",2025-05-30T06:51:19Z,0
user_49014,Tapi sayang seribu sayang pada waktu debat kandidat Gibran memandang sebelah mata kepada prof MD 😇😇😇,2025-05-30T05:30:39Z,0
user_22600,Mahfud cangkeme bosok,2025-05-30T03:05:09Z,0
user_38341,Yg. Pencemar. Nama. Baik. Org. Lain.,2025-05-30T02:49:27Z,0
user_38341,"Harus. Di. Berantas,  yg. Memfitnah. Ijazah. Jokowi",2025-05-30T02:48:51Z,0
user_44061,Mantap Pak M,2025-05-30T00:58:46Z,0
user_17486,Hmmm mafud  ora ceto,2025-05-30T00:56:04Z,0
user_26298,"lah ini pak mahfud baru orang yg bener"" cerdas",2025-05-30T00:20:29Z,0
user_43163,Ini dengerin baru prof.betul jangan meribut kan izasah won udah mimpin dr tngkat RT sampe persiden ko baru di husut yg penting Rakyatnya nyamanloh👍🙏🙏❤️💘,2025-05-29T18:02:13Z,0
user_1620,Mantap pak mahput...ini baru provesor dr.,2025-05-29T15:03:32Z,0
user_54215,"Kerennnn pak mahmud 
jelas ,cerdas ,dan sanggat logika
Sehat sellu pak mahmud",2025-05-29T14:33:22Z,0
user_9506,Urusan apalagi roy kamu hanya cari pamor,2025-05-29T14:29:48Z,0
user_50937,"Ini baru bilg ahli,mantap pak prof penjelsannya,bukn ahli panci banyak bacot abal² pula.😅",2025-05-29T12:49:44Z,0
user_19288,"Kalau semua tidak bisa menerima kasus ini karena bukan ranahnya,berarti lampu hijau untuk universitas untuk jual beli ijazah",2025-05-29T12:32:42Z,0
user_19990,"Jikalau pak mahpud emang bagusss , kenapa ga jadi peresiden  gituloh  .",2025-05-29T12:07:38Z,0
user_10227,wong.jowo.adam.kawitan.semboro.jember.hadir,2025-05-29T12:02:37Z,0
user_17233,Ya allaaaah senuga permasalahan ini cepat selesai,2025-05-29T10:03:50Z,0
user_7129,"Aneh sekali  kalian  , ijasah presiden jokowi kalian koreksi , 
bagaimana , para mentement old kabinet old era old Soekarno dan soeharto
Bapak  jokowi itu 
Mangku bumi dari Baturaja",2025-05-29T09:01:10Z,0
user_44187,"Klu palsu y d hukum Krn udh melangar ,dn melsukan ,ijza",2025-05-29T08:16:23Z,0
user_26073,"Yg jls da yg MW fitnah adu domba PK Jokowi.
Biar dia terlihat bruk
Krn PK Jokowi terbaik",2025-05-29T07:50:11Z,0
user_16194,bagus dan benar pak  setuju 👍👍,2025-05-29T07:49:04Z,0
