author,text,published_at,like_count
user_9836,Jangan bohong poto aha beda,2025-06-01T02:59:05Z,0
user_13910,Astongkare Sht sllu pak jokowi,2025-06-01T02:25:21Z,0
user_34283,Sbenernya pak jokowi gk mau pusingin  tp klu ud gni ya bikin kesel jg sih😅,2025-06-01T02:21:12Z,0
user_54115,"Seru ni kalau angkatan pak jokowi datang semua
Semangat pak jokowi👍👍👍",2025-06-01T01:32:07Z,0
user_1442,UGM tuntut balik pihak yang menuduh ftnah ijazah... Mana Marwah UGM,2025-06-01T01:25:23Z,0
user_34184,"Biasanya jokowi gercep dalam segala hal....tpi ijazah kok berat banget ya
Klo saya jadi jokowi saya akan bilang begini....""sudah jngan ribut terus...ini ijazah saya...klo Bpa2vtidak percaya silahkan bandingkan ijazah saya dg ijazah srangkatan...lalu disebutlah  nama temen2 seangkatan....dan saya memnafkan orang2 yg meragukan ijazah saya ini.",2025-06-01T01:19:43Z,0
user_50404,"Roy kui bocah kapan,jokowi kui kapan,koyo aku wae seng ora melu sekolah iso niteni ko sopo seng goroh..perkoyo seng genah nyoto welo-welo ngono..",2025-06-01T01:13:44Z,0
user_34184,"Diphoto wisuda jokowi,lebih pendek",2025-06-01T01:12:47Z,0
user_8723,Semakin yakin kalo si roy bakal masuk bui karna sudah fitnah pak jokowi 😅,2025-06-01T00:24:29Z,0
user_39363,Percuma ga sih.  Yang Roy kumis cari bukan ke aslian ijasah. Tapi mereka hanya ingin menjatuhkan kredibilitas pa jokowi .,2025-06-01T00:02:49Z,0
user_24265,"Sudah saatnya pak Jokowi menggunakan hukum untuk para gelandangan politik.. Mereka tidak akn pernah puas menghina, menghujat pak Jokowi.. mereka harus masuk penjara sesuai hukum yang berlaku.",2025-06-01T00:00:45Z,0
user_17357,Alahhh.....gak oercaya....!,2025-05-31T15:21:03Z,0
user_12733,Ya pak jokowinya mana pak?,2025-05-31T15:16:56Z,0
user_27623,"Roy suryo udah mulai ketar ketir , aneh aja masih ada aja manusia resek sedunia seperti roy suryo ini apa ga lihat rekam jejak jabatan Jokowi sebelumnya kok baru sekarang bahas ijazah 😅",2025-05-31T15:12:14Z,0
user_16355,Bingung yaa pak jawab2 pertanyaannya??...,2025-05-31T15:04:31Z,0
user_34320,Mantap!!! sandiwaranya,2025-05-31T14:49:13Z,0
user_28958,"Berani tidak FUFUFAFA memperlihatkan IJAZAHnya,seperti yang ditampilkan teman-temanya",2025-05-31T14:33:36Z,0
user_41052,Ramai ramai tampilkan kebohongan .,2025-05-31T13:13:59Z,0
